external_age_group,external_treatment,external_replicate,youth_score,cells
aged,SOKM,1,0.3018267006022257,7440
aged,SOKM,2,0.3214486315828113,686
aged,SOKM,3,0.4097693852825593,55
aged,control,1,0.45404039042209743,821
aged,control,2,0.4601456049796089,428
aged,control,3,0.4743023148240092,763
young,SOKM,1,0.32975450345997986,5320
young,SOKM,2,0.36986344993252196,1434
young,SOKM,3,0.3992882591924288,57
young,control,1,0.47640756926499667,499
young,control,2,0.49643906967616547,391
young,control,3,0.50518863509015,792
