mouse_id,age,age_months,sex,youth_score,predicted_age_months,cells
1-M-62,1m,1.0,male,0.4051073901256424,12.890517,1247
1-M-63,1m,1.0,male,0.49064767655855046,12.855462,1109
3-F-56,3m,3.0,female,0.258374817735576,14.086275,715
3-F-57,3m,3.0,female,0.2868859074822122,13.750345,753
18-F-50,18m,18.0,female,0.20023835865713535,15.758977,400
18-F-51,18m,18.0,female,0.22575257455184142,15.369815,271
18-M-52,18m,18.0,male,0.167208532911467,15.8929,1328
18-M-53,18m,18.0,male,0.2661493268493524,15.011969,958
21-F-54,21m,21.0,female,0.19741278216069308,14.879944,930
21-F-55,21m,21.0,female,0.1270970173182054,15.636008,1077
24-M-58,24m,24.0,male,0.12744821240184115,15.8411255,921
24-M-59,24m,24.0,male,0.1445112821132715,15.021126,950
24-M-60,24m,24.0,male,0.07197565744537038,16.61685,746
24-M-61,24m,24.0,male,0.1050172719049827,16.115627,600
30-M-4,30m,30.0,male,0.14092342950799439,15.125403,647
30-M-5,30m,30.0,male,0.14330982813869222,15.287203,385
