"model","metric","observed","boot_median","ci_low","ci_high","valid_bootstrap_n","total_bootstrap_n"
"factorial_medium_original","auc",1,1,1,1,9999,10000
"factorial_medium_original","all_age_rho",-0.712586991026513,-0.731310340973526,-0.870207636468152,-0.238377808513789,10000,10000
"factorial_medium_original","old_only_rho",0.436435780471985,0.46423834544263,-0.427792631946499,0.906596827823249,9815,10000
"factorial_medium_original","library_rho",-0.846153846153846,-0.831858407079646,-0.986425339366516,-0.559077600327601,10000,10000
"factorial_medium_original","young_old_median_difference",0.264829394322008,0.264829394322008,0.149961223951956,0.438578648437911,9999,10000
"factorial_stability_selected","auc",1,1,1,1,9990,10000
"factorial_stability_selected","all_age_rho",-0.768843858739132,-0.780896635007285,-0.901189758405181,-0.365623516141338,10000,10000
"factorial_stability_selected","old_only_rho",0.109108945117996,0.129099444873581,-0.816496580927726,0.877058019307029,9841,10000
"factorial_stability_selected","library_rho",-0.832967032967033,-0.813636363636364,-0.976906642117474,-0.540178571428572,10000,10000
"factorial_stability_selected","young_old_median_difference",0.282145695115038,0.306205259908234,0.166027670764744,0.528558107577718,9990,10000
"age_only_de","auc",1,1,1,1,9997,10000
"age_only_de","all_age_rho",-0.750091569501593,-0.768376805720965,-0.89431349310949,-0.318391941759153,10000,10000
"age_only_de","old_only_rho",0.218217890235992,0.256600119639834,-0.725476250110012,0.904534033733291,9813,10000
"age_only_de","library_rho",-0.881318681318681,-0.869221930734346,-0.986455981941309,-0.599109131403118,10000,10000
"age_only_de","young_old_median_difference",0.315037870050437,0.319732496437811,0.170912617861869,0.489240956980019,9997,10000
"pc1_baseline","auc",0.833333333333333,0.85,0.555555555555556,1,9998,10000
"pc1_baseline","all_age_rho",-0.412550363225876,-0.423536918264582,-0.846753850235518,0.183840532417142,10000,10000
"pc1_baseline","old_only_rho",0.327326835353989,0.329292779969071,-0.641688947919748,0.904534033733291,9820,10000
"pc1_baseline","library_rho",-0.345054945054945,-0.339285714285714,-0.673380358854951,0.18182328907048,10000,10000
"pc1_baseline","young_old_median_difference",0.22065967602818,0.22065967602818,-0.0374054105792752,0.536391833706715,9998,10000
"elastic_net","auc",0.833333333333333,0.85,0.555555555555556,1,9996,10000
"elastic_net","all_age_rho",-0.530930918716774,-0.536342984364744,-0.873397715455495,-0.0236298557928618,10000,10000
"elastic_net","old_only_rho",0,0,-0.866025403784439,0.854242196177249,9838,10000
"elastic_net","library_rho",-0.377801099553136,-0.374761837138967,-0.756449876905485,0.211180634731336,10000,10000
"elastic_net","young_old_median_difference",0.224489314395923,0.246724854492573,-0.029269170245085,0.460545029378173,9996,10000
