"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Sox17",3.96640816797771,2.40702516069285,3.41121436683426,3.42670485796582,3.60361431796978,3.69011475500317,3.37763177873376,3.04469503274253,3.27746378147072,4.30827349300031,2.72854663856221,3.54401057324075
"Mrpl15",3.91705785158854,4.32578500956098,5.21670618718643,4.98347906501868,4.3297071195699,4.48329413734924,4.65191272786629,4.6522482244676,4.75606839083313,4.59456903750293,4.47440561034481,4.51986309654356
"Lypla1",4.94842809785303,5.1499768222793,4.70855688337704,4.98347906501868,4.69117450959717,4.70724511751872,4.82272656820253,4.76472793038614,4.78341955341928,4.83334989253728,4.97301309718824,4.90313825656328
"Tcea1",6.05792958522356,5.76737961907759,6.04083397733622,5.97462278386844,6.39030712749516,6.30605458119457,6.42721107750215,6.21102301416042,6.3178596863494,6.1871791541971,6.19487738991442,6.31621521449611
"Rgs20",0.973968249215316,1.31864682612248,1.31616265403991,1.48075086445593,-0.503704443824113,1.04023192010285,0.841270722673226,0.157573098014491,0.955135291811437,0.629360323310381,0.57386642681585,1.12247767240419
"Atp6v1h",4.79297291711572,4.75900811693321,4.89852882448199,4.53745792802947,4.89770271273885,4.93425792928673,5.04613413532673,4.95963321616215,4.54854959006752,4.61177786077898,4.40110053814592,4.61777447631487
"Rb1cc1",4.94842809785303,5.1499768222793,4.44689421124476,4.00103017895614,5.1446965122542,4.914429798258,4.85808727616363,5.19579360034395,5.0202588222048,5.32573662860215,4.98977812717208,5.16305770884412
"Pcmtd1",5.11086516732632,5.12115153487812,4.41169324549859,4.721235648503,5.37223632747799,5.34307319863897,5.49674643013553,5.40365119923804,5.39301798514725,5.51140928808473,5.5827479037056,5.33924513622663
"Rrs1",6.26932512194124,6.41572208851489,6.57206074640026,5.53942855193337,6.2067904052038,6.353459830465,6.26213602755256,6.02672428762507,6.25574679219277,5.96415097763246,5.92975183258505,5.67871906757627
"Adhfe1",0.973968249215316,0.841531739621085,0.386475171283681,0.668188883230553,0.730775916834726,1.78562516362401,2.08724248180419,1.78476923599298,2.47483536203968,1.7164976438622,1.37284109227841,1.53266716671019
"2610203C22Rik",-0.131490093932028,-1.36879644547216,-0.355697055956426,1.13093625872888,0.730775916834726,0.289109909712137,1.50839697512925,-0.27905408656736,1.29627758746587,1.27299516700152,0.891889792311261,0.141708404863292
"Mybl1",0.524627422540264,-1.36879644547216,-0.621341841777805,-0.540191092607908,-0.21034066686933,0.289109909712137,-0.129940474899212,-0.0442851691924903,-0.144972567103239,0.877190759319325,-0.406766895632688,-1.36879644547216
"Vcpip1",3.37504207195324,3.14006521112026,2.79877866074279,2.57187799442347,3.19130920980007,3.25830885337238,3.27671293290953,3.21275515680673,3.23846690780283,2.87680238424518,2.98417339617266,2.733828150079
"Sgk3",1.82426186576195,1.67657849603583,1.87690494691065,2.10207619646898,2.41073279033092,2.35530454429501,2.35814563984548,2.45538105648546,2.40611409605096,2.2436560569526,2.14577185242593,2.17126914788294
"Snhg6",5.85014115897337,5.48015028048637,6.80354976729741,6.38830042806192,6.13677917912142,6.08145522182459,5.90023112950362,6.04910902124683,5.95862265133687,5.94391040042694,6.03849360154909,6.09983989600266
"Cops5",4.61872115816735,4.5585972595318,5.33416421320436,5.13919246310131,5.02999453402225,5.12461730259781,5.16384695049315,4.92547023159627,4.74219586925634,4.8908722897347,5.14002201086658,5.28728870601661
"Cspp1",3.04829255858605,2.40702516069285,1.71307322394075,1.82460645288314,3.03212858024782,3.23718044821693,2.85473961048106,3.14311206916406,2.97935945807199,2.75816898562829,3.01725689994932,2.733828150079
"Arfgef1",4.52300945692221,4.37545017568387,4.07171605597157,3.98742968195625,4.13450821379622,4.19634446607537,4.37512341397921,4.17068902132759,4.10397117182056,4.19865279157002,3.98233835912284,4.26169062828225
"Prex2",3.44634794121041,3.35337649971985,3.81306409628456,3.11270349282075,3.86212834763122,4.09429139397756,3.95276759765326,3.70684087594791,4.20856401974214,3.61750756242403,3.76582470223113,4.10543789861452
