"mouse","age","sex","version","fold_type","predicted_raw_score","predicted_young_module_raw","predicted_old_module_raw","predicted_calibrated_score","signature_size","selected_young_high","selected_old_high","design_full_rank","score_ok","score_failure_reason","heldout_gene_coverage","heldout_young_module_coverage","heldout_old_module_coverage","heldout_weighted_coverage","calibration_denominator","young_reference_center","old_reference_center","fold_candidate_genes_total","fold_candidate_young_high","fold_candidate_old_high","low_depth_triggered","low_depth_removed","low_depth_valid","sex_sensitive_filtering","heldout_tmm_norm_factor","heldout_effective_library_size","heldout_cell_count"
"18-F-50",18,"female","Small","held_out_old",-0.0794560770817167,0.300043536935676,0.379499614017393,0.206153911035332,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.53111955852589,2.7237093741207,-0.807410184405184,1601,805,796,TRUE,"18-F-51",TRUE,TRUE,1.10051526912994,1895296.3913429,400
"18-F-50",18,"female","Medium","held_out_old",0.130561783831227,0.38031884623604,0.249757062404813,0.294701699606661,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.23532857150626,2.4124335265286,-0.822895044977659,1601,805,796,TRUE,"18-F-51",TRUE,TRUE,1.10051526912994,1895296.3913429,400
"18-F-50",18,"female","Large","held_out_old",0.043007321277009,0.256205694465225,0.213198373188216,0.285260900107487,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.21438472409256,2.34045376568317,-0.873930958409393,1601,805,796,TRUE,"18-F-51",TRUE,TRUE,1.10051526912994,1895296.3913429,400
"18-F-51",18,"female","Small","held_out_old",-0.0659887567181542,0.288062111824198,0.354050868542352,0.195036289614385,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.38639148916237,2.65993350121625,-0.726457987946115,1579,764,815,TRUE,"18-F-50",TRUE,TRUE,1.1540404016962,1430334.9844683,271
"18-F-51",18,"female","Medium","held_out_old",0.176458032886557,0.445862885269519,0.269404852382962,0.294410238734631,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.37897176121462,2.5606259112044,-0.818345850010217,1579,764,815,TRUE,"18-F-50",TRUE,TRUE,1.1540404016962,1430334.9844683,271
"18-F-51",18,"female","Large","held_out_old",0.225154287408113,0.27928635944122,0.0541320720331066,0.325552287623352,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.29412984186853,2.446872623528,-0.847257218340539,1579,764,815,TRUE,"18-F-50",TRUE,TRUE,1.1540404016962,1430334.9844683,271
"18-M-52",18,"male","Small","held_out_old",-0.467188016321202,-0.375957341382499,0.0912306749387033,0.0655620530154531,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.30669398178894,2.62271231932781,-0.683981662461128,1509,736,773,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.874854447023446,7666598.85278386,1328
"18-M-52",18,"male","Medium","held_out_old",0.0281152699595347,-0.180736410479176,-0.20885168043871,0.252969229535284,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.32405601486746,2.51128739581385,-0.812768619053615,1509,736,773,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.874854447023446,7666598.85278386,1328
"18-M-52",18,"male","Large","held_out_old",0.102901096721293,-0.0848001707036968,-0.18770126742499,0.282869812193255,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.1948997688021,2.39406016794607,-0.800839600856032,1509,736,773,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.874854447023446,7666598.85278386,1328
"18-M-53",18,"male","Small","held_out_old",0.351419791209014,0.210455436637383,-0.140964354571631,0.296493320778512,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.19528286475004,2.59932262856264,-0.595960236187402,1480,728,752,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.962798755114259,6725318.757054,958
"18-M-53",18,"male","Medium","held_out_old",0.673319918382126,0.353575998736543,-0.319743919645583,0.432582007702068,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.21047983102853,2.49500393841734,-0.715475892611193,1480,728,752,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.962798755114259,6725318.757054,958
"18-M-53",18,"male","Large","held_out_old",0.597170103464494,0.249520462663554,-0.34764964080094,0.413386373933257,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.09573384943721,2.41316976222041,-0.682564087216797,1480,728,752,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.962798755114259,6725318.757054,958
"21-F-54",21,"female","Small","held_out_old",-0.457510159588009,-0.536907232144311,-0.0793970725563015,0.0511269049664353,40,20,20,TRUE,TRUE,"ok",1,1,1,1,3.12300149393999,2.50582193376128,-0.617179560178714,1657,740,917,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.986984440722543,6297075.22200495,930
"21-F-54",21,"female","Medium","held_out_old",-0.292541932005333,-0.38878597428014,-0.0962440422748067,0.130783740892624,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.13972072625205,2.43655437230937,-0.703166353942684,1657,740,917,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.986984440722543,6297075.22200495,930
"21-F-54",21,"female","Large","held_out_old",-0.20957629450357,-0.299684854767535,-0.090108560263965,0.163818225639868,200,100,100,TRUE,TRUE,"ok",1,1,1,1,2.99556042257213,2.29525673484578,-0.700303687726351,1657,740,917,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.986984440722543,6297075.22200495,930
"21-F-55",21,"female","Small","held_out_old",0.077452150994752,-0.291668789863287,-0.369120940858039,0.208000511425977,40,20,20,TRUE,TRUE,"ok",1,1,1,1,2.8353433656673,2.323042646535,-0.512300719132298,1521,760,761,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.982717990147012,7163305.60850082,1077
"21-F-55",21,"female","Medium","held_out_old",-0.15939129063441,-0.317674641259336,-0.158283350624926,0.186612487714755,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.17295545363922,2.4214510523931,-0.751504401246123,1521,760,761,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.982717990147012,7163305.60850082,1077
"21-F-55",21,"female","Large","held_out_old",-0.169811576428763,-0.259987370307216,-0.0901757938784532,0.172451697072663,200,100,100,TRUE,TRUE,"ok",1,1,1,1,3.05982912054193,2.36234481952336,-0.697484301018573,1521,760,761,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.982717990147012,7163305.60850082,1077
"24-M-58",24,"male","Small","held_out_old",-0.334349480242214,-0.556757530113396,-0.222408049871182,0.0857116300110063,40,20,20,TRUE,TRUE,"ok",1,1,1,1,2.98297113841872,2.39294633962685,-0.59002479879187,1577,744,833,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.96228420979118,5689198.42172743,921
"24-M-58",24,"male","Medium","held_out_old",-0.6044281611377,-0.598757591992116,0.00567056914558456,0.030660995503812,100,50,50,TRUE,TRUE,"ok",1,1,1,1,3.04978174968775,2.35184424403527,-0.697937505652484,1577,744,833,TRUE,"18-F-50;18-F-51",TRUE,TRUE,0.96228420979118,5689198.42172743,921
