"score_type","mouse.id","age","age_group","sex","cell_score_raw_n_cells","cell_score_raw_mean","cell_score_raw_median","cell_score_raw_sd"
"equal_weight_medium_module_score","18-F-50","18m","Old","female",400,0.0172981099586532,-0.00608892514524239,0.26802967667056
"weighted_medium_module_score","18-F-50","18m","Old","female",400,0.00600704681011762,-0.00649756792300052,0.277684241164611
"equal_weight_medium_module_score","18-F-51","18m","Old","female",271,0.0153323701365024,-0.00575125498483389,0.325138182884641
"weighted_medium_module_score","18-F-51","18m","Old","female",271,-0.00311230001458439,-0.00792652953784602,0.353983502073417
"equal_weight_medium_module_score","21-F-54","21m","Old","female",930,-0.047793102542011,-0.0412149080355663,0.235889962966129
"weighted_medium_module_score","21-F-54","21m","Old","female",930,-0.0482519901584735,-0.0284610718460428,0.231532641283749
"equal_weight_medium_module_score","21-F-55","21m","Old","female",1077,-0.0729880216280434,-0.0626888854061974,0.223475634893728
"weighted_medium_module_score","21-F-55","21m","Old","female",1077,-0.0595499999075013,-0.0431032649742474,0.209901692997132
"equal_weight_medium_module_score","3-F-56","3m","Young","female",715,0.219891123915324,0.0727884615786575,0.396362074198503
"weighted_medium_module_score","3-F-56","3m","Young","female",715,0.205350541110785,0.0467921711632739,0.413896026985813
"equal_weight_medium_module_score","3-F-57","3m","Young","female",753,0.231986037164594,0.0802059001793465,0.421985008754419
"weighted_medium_module_score","3-F-57","3m","Young","female",753,0.209720999640052,0.0515499505686906,0.4466499859909
"equal_weight_medium_module_score","18-M-52","18m","Old","male",1328,0.0316959395809336,-0.00331809401820701,0.246411802773346
"weighted_medium_module_score","18-M-52","18m","Old","male",1328,0.0199597022734534,-0.00491230842692759,0.232026343669995
"equal_weight_medium_module_score","18-M-53","18m","Old","male",958,0.0957862023998313,0.0466859173546635,0.275428553029107
"weighted_medium_module_score","18-M-53","18m","Old","male",958,0.0761535492314855,0.0299336336133966,0.272865970613339
"equal_weight_medium_module_score","24-M-58","24m","Old","male",921,-0.101262846466555,-0.0716224366416292,0.227779284878575
"weighted_medium_module_score","24-M-58","24m","Old","male",921,-0.0813795942829303,-0.048449934980504,0.214921442155364
"equal_weight_medium_module_score","24-M-59","24m","Old","male",950,-0.0818095511085961,-0.0665595559080255,0.25107576768993
"weighted_medium_module_score","24-M-59","24m","Old","male",950,-0.0622623844207268,-0.0451657981113539,0.248930370536803
"equal_weight_medium_module_score","24-M-60","24m","Old","male",746,-0.156297849228778,-0.108621444261737,0.282028009179625
"weighted_medium_module_score","24-M-60","24m","Old","male",746,-0.140084475199118,-0.0732869340718254,0.300053860245734
"equal_weight_medium_module_score","24-M-61","24m","Old","male",600,-0.110335517010604,-0.0752558879310639,0.283739292603407
"weighted_medium_module_score","24-M-61","24m","Old","male",600,-0.0969232150760046,-0.0514152661445294,0.292911173574842
