"mouse.id","score_type","age","age_group","sex","cell_score_raw_n_cells","cell_score_raw_mean","cell_score_raw_median","cell_score_raw_sd","score_raw","youth_score_raw_calibrated"
"18-F-50","weighted_medium_module_score","18m","Old","female",400,0.00600704681011762,-0.00649756792300052,0.277684241164611,-0.0498451195504106,0.21238986168584
"18-F-51","weighted_medium_module_score","18m","Old","female",271,-0.00311230001458439,-0.00792652953784602,0.353983502073417,-0.263659477793072,0.14648362033689
"18-M-52","weighted_medium_module_score","18m","Old","male",1328,0.0199597022734534,-0.00491230842692759,0.232026343669995,0.332015883297172,0.330094882163754
"18-M-53","weighted_medium_module_score","18m","Old","male",958,0.0761535492314855,0.0299336336133966,0.272865970613339,0.850530589411926,0.489922106327038
"21-F-54","weighted_medium_module_score","21m","Old","female",930,-0.0482519901584735,-0.0284610718460428,0.231532641283749,-0.738633160576185,7.75022951074857e-05
"21-F-55","weighted_medium_module_score","21m","Old","female",1077,-0.0595499999075013,-0.0431032649742474,0.209901692997132,-0.863028800303998,-0.0382662699475106
"24-M-58","weighted_medium_module_score","24m","Old","male",921,-0.0813795942829303,-0.048449934980504,0.214921442155364,-0.91333653869597,-0.053773151596769
"24-M-59","weighted_medium_module_score","24m","Old","male",950,-0.0622623844207268,-0.0451657981113539,0.248930370536803,-0.739136029595919,-7.75022951075199e-05
"24-M-60","weighted_medium_module_score","24m","Old","male",746,-0.140084475199118,-0.0732869340718254,0.300053860245734,-1.52584402639397,-0.242572756282102
"24-M-61","weighted_medium_module_score","24m","Old","male",600,-0.0969232150760046,-0.0514152661445294,0.292911173574842,-1.09973449176535,-0.111228546935555
"3-F-56","weighted_medium_module_score","3m","Young","female",715,0.205350541110785,0.0467921711632739,0.413896026985813,2.49527398923422,0.996898608544702
"3-F-57","weighted_medium_module_score","3m","Young","female",753,0.209720999640052,0.0515499505686906,0.4466499859909,2.51539718273156,1.0031013914553
