model,mouse_id,label,age_months,youth_score,cell_count,predicted_age_months,decision_threshold
elastic_net,18_45_M,0.0,18.0,1e-07,31,,0.20368432370220754
elastic_net,18_46_F,0.0,18.0,0.012739039920647734,157,,0.5
elastic_net,18_47_F,0.0,18.0,0.6282766847459368,121,,0.5
elastic_net,18_53_M,0.0,18.0,0.15555562444444446,45,,0.5
elastic_net,24_58_M,0.0,24.0,9.999999999999998e-08,79,,0.5
elastic_net,24_59_M,0.0,24.0,1e-07,68,,0.5
elastic_net,24_60_M,0.0,24.0,1e-07,91,,0.20368432370220754
elastic_net,24_61_M,0.0,24.0,0.012658325316455697,79,,0.5
elastic_net,3_10_M,1.0,3.0,0.9999999,28,,0.5
elastic_net,3_11_M,1.0,3.0,0.8571428340192898,14,,0.5
elastic_net,3_38_F,1.0,3.0,0.38961041168831173,77,,0.5
elastic_net,3_39_F,1.0,3.0,0.9622640584905661,53,,0.5
elastic_net,3_8_M,1.0,3.0,0.9999999,75,,0.5
elastic_net,3_9_M,1.0,3.0,0.9411763823529412,17,,0.20368432370220754
gene_signature,18_45_M,0.0,18.0,0.09311784085550395,31,,0.5
gene_signature,18_46_F,0.0,18.0,0.12103076546754662,157,,0.5
gene_signature,18_47_F,0.0,18.0,0.45410631703151966,121,,0.5
gene_signature,18_53_M,0.0,18.0,0.2365550952851094,45,,0.5
gene_signature,24_58_M,0.0,24.0,0.04433428797740911,79,,0.5
gene_signature,24_59_M,0.0,24.0,0.022828506472405113,68,,0.5
gene_signature,24_60_M,0.0,24.0,0.13836835050225965,91,,0.5
gene_signature,24_61_M,0.0,24.0,0.1714950120819162,79,,0.5
gene_signature,3_10_M,1.0,3.0,0.8834964169998718,28,,0.5
gene_signature,3_11_M,1.0,3.0,0.8736444824016757,14,,0.5
gene_signature,3_38_F,1.0,3.0,0.5407978057389283,77,,0.5
gene_signature,3_39_F,1.0,3.0,0.7889206646177616,53,,0.5
gene_signature,3_8_M,1.0,3.0,0.9337942221461067,75,,0.5
gene_signature,3_9_M,1.0,3.0,0.831620436089153,17,,0.5
gene_transformer,18_45_M,0.0,18.0,0.07599265465750095,31,24.719002,0.5
gene_transformer,18_46_F,0.0,18.0,0.35462417487817005,157,16.109596,0.5
gene_transformer,18_47_F,0.0,18.0,0.34977854742317677,121,16.793848,0.5
gene_transformer,18_53_M,0.0,18.0,0.22653307997343217,45,20.737522,0.5
gene_transformer,24_58_M,0.0,24.0,0.041111104968635265,79,24.421974,0.5
gene_transformer,24_59_M,0.0,24.0,0.4999157368177097,68,11.835506,0.5
gene_transformer,24_60_M,0.0,24.0,0.21125887365475063,91,21.566202,0.5
gene_transformer,24_61_M,0.0,24.0,0.33672502098249807,79,16.70849,0.5
gene_transformer,3_10_M,1.0,3.0,0.822269352609343,28,6.9029016,0.5
gene_transformer,3_11_M,1.0,3.0,0.2091046175374009,14,19.655413,0.5
gene_transformer,3_38_F,1.0,3.0,0.500291711538443,77,11.897449,0.5
gene_transformer,3_39_F,1.0,3.0,0.8822133301401978,53,6.125258,0.5
gene_transformer,3_8_M,1.0,3.0,0.5002115499909678,75,11.933724,0.5
gene_transformer,3_9_M,1.0,3.0,0.8706027642433708,17,4.237653,0.5
technical_only,18_45_M,0.0,18.0,0.4939491626067093,31,,0.5
technical_only,18_46_F,0.0,18.0,0.885386332887905,157,,0.5
technical_only,18_47_F,0.0,18.0,0.4631901109013636,121,,0.5
technical_only,18_53_M,0.0,18.0,0.5070572506239303,45,,0.5044494485795097
technical_only,24_58_M,0.0,24.0,0.48332177510317786,79,,0.5044494485795097
technical_only,24_59_M,0.0,24.0,0.12430056544854076,68,,0.28248395600321297
technical_only,24_60_M,0.0,24.0,0.4875565720422463,91,,0.5
technical_only,24_61_M,0.0,24.0,0.0026757908789934296,79,,0.5
technical_only,3_10_M,1.0,3.0,0.5153472409443199,28,,0.5044494485795097
technical_only,3_11_M,1.0,3.0,0.28038962000950807,14,,0.5
technical_only,3_38_F,1.0,3.0,0.48244158105617324,77,,0.28248395600321297
technical_only,3_39_F,1.0,3.0,0.7454052468508501,53,,0.5
technical_only,3_8_M,1.0,3.0,0.7080869187972157,75,,0.28248395600321297
technical_only,3_9_M,1.0,3.0,0.5097426863725208,17,,0.5
