model,mouse_id,label,age_months,youth_score,cell_count,predicted_age_months,decision_threshold
elastic_net,18_45_M,0.0,18.0,0.41181468054835074,120,,0.0882153906415874
elastic_net,18_46_F,0.0,18.0,0.030000094,100,,0.5
elastic_net,18_47_F,0.0,18.0,0.18644074067796612,118,,0.5
elastic_net,18_53_M,0.0,18.0,0.5270018954501454,110,,0.5
elastic_net,24_58_M,0.0,24.0,0.014285772617384928,70,,0.5
elastic_net,24_59_M,0.0,24.0,0.06187812888157092,97,,0.5
elastic_net,24_60_M,0.0,24.0,0.02247858085648185,89,,0.0882153906415874
elastic_net,24_61_M,0.0,24.0,0.08527140077519381,129,,0.5
elastic_net,3_10_M,1.0,3.0,0.9583332416666668,24,,0.5
elastic_net,3_11_M,1.0,3.0,0.7936507349206349,126,,0.5
elastic_net,3_38_F,1.0,3.0,0.12837656818912604,108,,0.5
elastic_net,3_39_F,1.0,3.0,0.8719406423119879,138,,0.5
elastic_net,3_56_F,1.0,3.0,0.911504342477876,113,,0.5
elastic_net,3_8_M,1.0,3.0,0.9697737361825537,99,,0.5
elastic_net,3_9_M,1.0,3.0,0.9922479635658915,129,,0.0882153906415874
gene_signature,18_45_M,0.0,18.0,0.486366166763457,120,,0.4889374029343258
gene_signature,18_46_F,0.0,18.0,0.498254741236192,100,,0.5048473132384768
gene_signature,18_47_F,0.0,18.0,0.5237978955460325,118,,0.5090709637137414
gene_signature,18_53_M,0.0,18.0,0.6334265093264186,110,,0.5
gene_signature,24_58_M,0.0,24.0,0.14755413150566923,70,,0.5
gene_signature,24_59_M,0.0,24.0,0.18907695356536797,97,,0.5
gene_signature,24_60_M,0.0,24.0,0.38579317588423195,89,,0.4889374029343258
gene_signature,24_61_M,0.0,24.0,0.4846786402976997,129,,0.5048473132384768
gene_signature,3_10_M,1.0,3.0,0.5119937282770783,24,,0.5048473132384768
gene_signature,3_11_M,1.0,3.0,0.5269203763743838,126,,0.5090709637137414
gene_signature,3_38_F,1.0,3.0,0.31498776765330494,108,,0.5
gene_signature,3_39_F,1.0,3.0,0.9338920377156151,138,,0.5
gene_signature,3_56_F,1.0,3.0,0.5389842394837705,113,,0.5090709637137414
gene_signature,3_8_M,1.0,3.0,0.8826544443722538,99,,0.5
gene_signature,3_9_M,1.0,3.0,0.5216601827747831,129,,0.4889374029343258
gene_transformer,18_45_M,0.0,18.0,0.5001405715429594,120,7.6980796,0.5
gene_transformer,18_46_F,0.0,18.0,0.5000711411204476,100,8.771875,0.5
gene_transformer,18_47_F,0.0,18.0,0.4202534768946516,118,15.773574,0.50132957101748
gene_transformer,18_53_M,0.0,18.0,0.5879385909025495,110,7.2939897,0.5
gene_transformer,24_58_M,0.0,24.0,0.3652813519992973,70,11.87221,0.5
gene_transformer,24_59_M,0.0,24.0,0.2116597943706118,97,19.500645,0.5
gene_transformer,24_60_M,0.0,24.0,0.5000651850364822,89,7.7853975,0.5
gene_transformer,24_61_M,0.0,24.0,0.500157618760783,129,8.74894,0.5
gene_transformer,3_10_M,1.0,3.0,0.5002433171214931,24,8.742676,0.5
gene_transformer,3_11_M,1.0,3.0,0.5629719457170311,126,12.0192175,0.50132957101748
gene_transformer,3_38_F,1.0,3.0,0.47106988638467634,108,9.941661,0.5
gene_transformer,3_39_F,1.0,3.0,0.7673618493891162,138,7.54898,0.5
gene_transformer,3_56_F,1.0,3.0,0.6014991975563103,113,10.857355,0.50132957101748
gene_transformer,3_8_M,1.0,3.0,0.8556479517494089,99,5.315025,0.5
gene_transformer,3_9_M,1.0,3.0,0.5002810274425568,129,7.625401,0.5
technical_only,18_45_M,0.0,18.0,0.5000211238865435,120,,0.5
technical_only,18_46_F,0.0,18.0,0.49944479971325717,100,,0.5
technical_only,18_47_F,0.0,18.0,0.9629498094536358,118,,0.5
technical_only,18_53_M,0.0,18.0,0.42760851359506,110,,0.5
technical_only,24_58_M,0.0,24.0,0.14676787713295297,70,,0.5
technical_only,24_59_M,0.0,24.0,0.04037898275552798,97,,0.5
technical_only,24_60_M,0.0,24.0,0.4790549311391759,89,,0.5
technical_only,24_61_M,0.0,24.0,0.5061997481810436,129,,0.5
technical_only,3_10_M,1.0,3.0,0.5045569445138381,24,,0.5
technical_only,3_11_M,1.0,3.0,0.7075950132803076,126,,0.5
technical_only,3_38_F,1.0,3.0,0.26715269982313694,108,,0.5
technical_only,3_39_F,1.0,3.0,0.9728300018818138,138,,0.5
technical_only,3_56_F,1.0,3.0,0.9870714388611052,113,,0.5
technical_only,3_8_M,1.0,3.0,0.3974040522686374,99,,0.5
technical_only,3_9_M,1.0,3.0,0.5018521606890763,129,,0.5
