model,mouse_id,label,age_months,youth_score,cell_count,predicted_age_months,decision_threshold
elastic_net,18_45_M,0.0,18.0,1e-07,31,,0.21144769634487343
elastic_net,18_46_F,0.0,18.0,0.012150661347348352,82,,0.5
elastic_net,18_47_F,0.0,18.0,0.8947367697189073,76,,0.5
elastic_net,18_53_M,0.0,18.0,0.13333340666666668,45,,0.5
elastic_net,24_58_M,0.0,24.0,9.999999999999998e-08,79,,0.5
elastic_net,24_59_M,0.0,24.0,1e-07,68,,0.5
elastic_net,24_60_M,0.0,24.0,1e-07,91,,0.21144769634487343
elastic_net,24_61_M,0.0,24.0,0.012991255836494513,79,,0.5
elastic_net,3_10_M,1.0,3.0,0.9999999,28,,0.5
elastic_net,3_11_M,1.0,3.0,0.785630518389848,14,,0.5
elastic_net,3_38_F,1.0,3.0,0.3898553232017061,77,,0.5
elastic_net,3_39_F,1.0,3.0,0.9811319792452831,53,,0.5
elastic_net,3_8_M,1.0,3.0,0.9999999,75,,0.5
elastic_net,3_9_M,1.0,3.0,0.9411763823529412,17,,0.21144769634487343
gene_signature,18_45_M,0.0,18.0,0.0635746610063492,31,,0.5
gene_signature,18_46_F,0.0,18.0,0.12433457994356122,82,,0.5
gene_signature,18_47_F,0.0,18.0,0.568234583560244,76,,0.5
gene_signature,18_53_M,0.0,18.0,0.22198145072111264,45,,0.5
gene_signature,24_58_M,0.0,24.0,0.029021738922251246,79,,0.5
gene_signature,24_59_M,0.0,24.0,0.023344355002240576,68,,0.5
gene_signature,24_60_M,0.0,24.0,0.11166658389957013,91,,0.5
gene_signature,24_61_M,0.0,24.0,0.1332312242346407,79,,0.5
gene_signature,3_10_M,1.0,3.0,0.9018222533771186,28,,0.5
gene_signature,3_11_M,1.0,3.0,0.8857272701102016,14,,0.5
gene_signature,3_38_F,1.0,3.0,0.5171806834042401,77,,0.5
gene_signature,3_39_F,1.0,3.0,0.7991493304997471,53,,0.5
gene_signature,3_8_M,1.0,3.0,0.9288497119513738,75,,0.5
gene_signature,3_9_M,1.0,3.0,0.855638134781521,17,,0.5
gene_transformer,18_45_M,0.0,18.0,0.12234531840808002,31,23.044985,0.5
gene_transformer,18_46_F,0.0,18.0,0.5129309287389959,82,12.9491,0.5
gene_transformer,18_47_F,0.0,18.0,0.6084036348063947,76,12.077169,0.5
gene_transformer,18_53_M,0.0,18.0,0.21960753956023074,45,21.07997,0.5
gene_transformer,24_58_M,0.0,24.0,0.02705272750568597,79,24.949564,0.5
gene_transformer,24_59_M,0.0,24.0,0.49972191487806583,68,10.101821,0.5
gene_transformer,24_60_M,0.0,24.0,0.2875903535251355,91,18.640755,0.5
gene_transformer,24_61_M,0.0,24.0,0.3346561575095173,79,17.039965,0.5
gene_transformer,3_10_M,1.0,3.0,0.85277733768575,28,6.0328345,0.5
gene_transformer,3_11_M,1.0,3.0,0.1387591774907185,14,21.084682,0.5
gene_transformer,3_38_F,1.0,3.0,0.5001179560529664,77,10.155489,0.5
gene_transformer,3_39_F,1.0,3.0,0.9537837833274395,53,4.112956,0.5
gene_transformer,3_8_M,1.0,3.0,0.5000522256400141,75,10.078385,0.5
gene_transformer,3_9_M,1.0,3.0,0.7211584188179971,17,8.005623,0.5
technical_only,18_45_M,0.0,18.0,0.49513785371114927,31,,0.5
technical_only,18_46_F,0.0,18.0,0.9163799880562534,82,,0.5
technical_only,18_47_F,0.0,18.0,0.7369828117538706,76,,0.5
technical_only,18_53_M,0.0,18.0,0.52938423476247,45,,0.5032219860068633
technical_only,24_58_M,0.0,24.0,0.4282022827399969,79,,0.5032219860068633
technical_only,24_59_M,0.0,24.0,0.13384914292959582,68,,0.28443848405508365
technical_only,24_60_M,0.0,24.0,0.4893587036196745,91,,0.5
technical_only,24_61_M,0.0,24.0,0.0019161713549602714,79,,0.5
technical_only,3_10_M,1.0,3.0,0.5645796958325869,28,,0.5032219860068633
technical_only,3_11_M,1.0,3.0,0.26104633650099257,14,,0.5
technical_only,3_38_F,1.0,3.0,0.4330629861125994,77,,0.28443848405508365
technical_only,3_39_F,1.0,3.0,0.7257846230364622,53,,0.5
technical_only,3_8_M,1.0,3.0,0.7050796513490287,75,,0.28443848405508365
technical_only,3_9_M,1.0,3.0,0.5082264045034395,17,,0.5
