"mouse","young_module_score","old_module_score","raw_score","calibrated_score","gene_coverage","weighted_coverage","young_reference_center","old_reference_center","calibration_denominator","model","age","age_months","age_group","sex","n_cells","pseudobulk_library_size","pseudobulk_detected_genes"
"3_38_F",0.670789120960249,-0.655735063600906,1.32652418456116,0.984314565599667,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.961434511384878,-0.850802517903907,1.81223702928879,1.18768070212451,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.841239945940906,-0.535834552025736,1.37707449796664,1.00547979120361,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.477709440003314,-0.87318955972649,1.3508989997298,0.994520208796389,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.18603436205836,-0.452268616195971,1.63830297825434,1.11485517084002,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.432472590868208,-0.853025237045542,1.28549782791375,0.967136984776677,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.498841037668882,1.00374308231668,-1.50258411998557,-0.200222413299165,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","18m",18,"Old","female",157,261459669,14857
"18_47_F",-0.609378556890927,1.00119353890608,-1.610572095797,-0.245436571562214,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","18m",18,"Old","female",121,296683550,14205
"18_45_M",-0.568643393365272,0.297477239774431,-0.866120633139704,0.0662624486186984,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.493564973468721,0.246976345425106,-0.740541318893827,0.118842033949501,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.575671830036359,0.779182315458288,-1.35485414549465,-0.138368430051143,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.661888563698086,0.00521536442534239,-0.667103928123428,0.149589992541818,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.542020683550601,0.527820296867118,-1.06984098041772,-0.0190344925825628,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.61967093253707,0.359247363325504,-0.978918295862574,0.0190344925825628,1,1,1.36398674884822,-1.02437963814015,2.38836638698837,"factorial_medium_original","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.616884575458873,-0.627579177145495,1.24446375260437,0.943100977581762,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.933339204955723,-0.820324000968417,1.75366320592414,1.15964161481578,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.909988611609867,-0.479139571494497,1.38912818310436,1.0046205408125,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.433631409645026,-0.933766193132044,1.36739760277707,0.995379459187496,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.12743573120343,-0.425213488250268,1.5526492194537,1.07415900787369,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.366928470600248,-0.784898094951756,1.151826565552,0.903706364360745,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.466826128269783,0.956018457325976,-1.42284458559576,-0.191190592230156,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","18m",18,"Old","female",157,261459669,14857
"18_47_F",-0.580816216318306,0.93252576276189,-1.5133419790802,-0.229675243235527,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","18m",18,"Old","female",121,296683550,14205
"18_45_M",-0.596493051734762,0.366065545226148,-0.96255859696091,0.00454925124191908,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.470728433082598,0.289812382571483,-0.760540815654081,0.0904587289752171,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.520807142677032,0.778419259634569,-1.2992264023116,-0.138621093171302,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.662330122875763,0.00127885122751628,-0.663608974103279,0.131679674129092,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.53311732243059,0.450836577278008,-0.983953899708598,-0.00454925124191913,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.557089586084337,0.295963689916885,-0.853053276001222,0.0511171566599852,1,1,1.37826289294072,-0.973256248334754,2.35151914127547,"factorial_large_original","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.728582265807704,-0.708649748703085,1.43723201451079,0.994953769022699,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.911417707327478,-0.928465016225019,1.8398827235525,1.15232811732772,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.901994419042095,-0.561059700568824,1.46305411961092,1.0050462309773,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.507605731344102,-0.893972010495447,1.40157774183955,0.98101844542851,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.16323137766499,-0.567696958315666,1.73092833598066,1.10974374989944,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.522149770169596,-0.853299832456522,1.37544960262612,0.970806371318613,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.462842621251037,1.01310664400418,-1.47594926525522,-0.143650969781014,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","18m",18,"Old","female",157,261459669,14857
"18_47_F",-0.639242934737764,1.05340426170922,-1.69264719644698,-0.228346451335022,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","18m",18,"Old","female",121,296683550,14205
"18_45_M",-0.639205001780902,0.21750566209167,-0.856710663872572,0.0983758518526523,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.511369454532437,0.213396611001289,-0.724766065533726,0.149945847160404,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.642959985404933,0.90828694311861,-1.55124692852354,-0.173080747053594,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.669675244193332,0.0603080621800923,-0.729983306373425,0.147906710363521,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.543490297448403,0.619804610322859,-1.16329490777126,-0.0214513196900815,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.62619573200716,0.427330472336645,-1.0535262043438,0.0214513196900815,1,1,1.45014306706085,-1.10841055605753,2.55855362311839,"factorial_stability_selected","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.681662445257946,-0.639594309040473,1.32125675429842,0.998807786330912,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.957069822482728,-0.836683900212384,1.79375372269511,1.20239332702093,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.823172502434145,-0.503618214074125,1.32679071650827,1.00119221366909,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.424148107838144,-0.888896485810215,1.31304459364836,0.995269399255437,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.15924350224965,-0.416528914475358,1.57577241672501,1.10847136560216,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.415953490149316,-0.840158719907635,1.25611221005695,0.970738850127135,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.477136144471206,0.985280100469886,-1.46241624494109,-0.200597946529999,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","18m",18,"Old","female",157,261459669,14857
"18_47_F",-0.595522729465198,0.966577745050106,-1.5621004745153,-0.24354905338048,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","18m",18,"Old","female",121,296683550,14205
"18_45_M",-0.556091305155088,0.348987054667743,-0.905078359822831,0.0395431385522079,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.480514878849647,0.270471849502093,-0.750986728351741,0.105936851543212,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.551827659144729,0.712689029866331,-1.26451668901106,-0.11532864155849,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.660567762054258,-0.012642074099778,-0.64792568795448,0.150342930389706,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.533106485709357,0.508066004773649,-1.04117249048301,-0.0190959618619323,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.606482905562448,0.346050833290159,-0.952533738852606,0.0190959618619323,1,1,1.32402373540335,-0.996853114667806,2.32087685007115,"factorial_medium_equal_weight","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.48341780353177,-0.611957992238706,1.09537579577048,0.826757204818906,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.608870416087864,-0.829013367024168,1.43788378311203,0.952637227930017,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.984222032594666,-0.665311265823745,1.64953329841841,1.03042357704559,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.890053459246378,-0.982623092876895,1.87267655212327,1.11243415481774,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.22991787780616,-0.584225412425687,1.81414329023185,1.09092175618187,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.588720402189815,-0.895253375598095,1.48397377778791,0.969576422954409,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.310727885475846,0.938531766219197,-1.24925965169504,-0.034953398209367,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","18m",18,"Old","female",157,261459669,14857
"18_47_F",-0.478650107449671,0.80539148280597,-1.28404159025564,-0.0477366073363743,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","18m",18,"Old","female",121,296683550,14205
"18_45_M",-0.675202505329429,0.451239687539343,-1.12644219286877,0.010185007687374,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.624048152025907,0.328111289705931,-0.952159441731838,0.0742381613415916,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.677945867726284,0.978200496127446,-1.65614636385373,-0.184494169879207,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.725176608190737,0.0923389833793713,-0.817515591570108,0.123723053947106,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.598482243058448,0.583384891716818,-1.18186713477527,-0.010185007687374,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.694968622200334,0.391185908493219,-1.08615453069355,0.0249917042700494,1,1,1.56675353810316,-1.15415466382202,2.72090820192518,"age_only_de","24m",24,"Old","male",79,101230452,11634
