"module","source","term_id","term_name","query_size","universe_size","term_size","overlap_n","overlap_genes","p_value","enrichment_ratio","ora_score","adjusted_p_value"
"Droplet_v1_old_high","GO:BP","GO:0006335","DNA replication-dependent chromatin assembly",32,11945,7,2,"Asf1b;Chaf1b",0.000144796027675013,106.651785714286,3.83924335238256,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:0034331","cell junction maintenance",32,11945,50,3,"Cldn3;Nrxn1;Pkp2",0.000314251575234364,22.396875,3.50272253666865,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:0010958","regulation of amino acid import across plasma membrane",32,11945,14,2,"Rgs4;Slc7a5",0.000620139707304057,53.3258928571429,3.20751046005613,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:1903789","regulation of amino acid transmembrane transport",32,11945,14,2,"Rgs4;Slc7a5",0.000620139707304057,53.3258928571429,3.20751046005613,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:0045217","cell-cell junction maintenance",32,11945,16,2,"Cldn3;Pkp2",0.000815035088171676,46.66015625,3.08882369399461,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:0043954","cellular component maintenance",32,11945,70,3,"Cldn3;Nrxn1;Pkp2",0.000846336631694295,15.9977678571429,3.07245686130103,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:0060078","regulation of postsynaptic membrane potential",32,11945,74,3,"Gabre;Nrxn1;Rgs4",0.000994992555397763,15.1330236486486,3.00218016866309,0.108230615047378
"Droplet_v1_old_high","GO:BP","GO:0014850","response to muscle activity",32,11945,18,2,"Myh4;Slc7a5",0.00103569966552515,41.4756944444444,2.98476616400685,0.108230615047378
"Droplet_v1_old_high","REACTOME","R-MMU-8955332","Mus musculus: Carboxyterminal post-translational modifications of tubulin",32,11945,15,2,"Ttll7;Tuba4a",0.00071434967058407,49.7708333333333,3.1460891512046,0.116438996305203
"Droplet_v1_old_high","GO:BP","GO:2000463","positive regulation of excitatory postsynaptic potential",32,11945,23,2,"Nrxn1;Rgs4",0.00169837343428654,32.4592391304348,2.76996681196087,0.157760021229283
"Droplet_v1_old_high","GO:BP","GO:0045840","positive regulation of mitotic nuclear division",32,11945,29,2,"Btc;Ube2c",0.00269827747414122,25.7435344827586,2.56891339221335,0.181443871653995
