"analysis","ranking_branch","lambda","signature_version","n_folds","zero_signature_folds","auc","all_age_rho","old_only_rho","young_minus_old_median","library_rho","detected_rho","cell_count_rho","median_jaccard","genes_selected_ge_75pct","median_signature_technical_burden"
"all_mice","original",0,"Small",14,0,1,-0.768843858739132,0.109108945117996,0.336258736335956,-0.824175824175824,-0.12967032967033,-0.767877252337573,0.454545454545455,24,0.178501277011774
"all_mice","original",0,"Medium",14,0,1,-0.712586991026513,0.436435780471985,0.264829394322008,-0.846153846153846,-0.0417582417582418,-0.710671497149101,0.449275362318841,57,0.183320227556733
"all_mice","original",0,"Large",14,0,1,-0.693834701788973,0.545544725589981,0.219527061650544,-0.841758241758242,-0.032967032967033,-0.675467955494656,0.454545454545455,123,0.184894043665356
"all_mice","tech_mild",1,"Small",14,0,1,-0.768843858739132,0.109108945117996,0.300877019095843,-0.824175824175824,-0.142857142857143,-0.750275481510351,0.454545454545455,24,0.150998162116204
"all_mice","tech_mild",1,"Medium",14,0,1,-0.731339280264053,0.327326835353989,0.220595804736124,-0.868131868131868,0.0549450549450549,-0.657866184667434,0.428571428571429,57,0.1622452877889
"all_mice","tech_mild",1,"Large",14,0,1,-0.693834701788973,0.545544725589981,0.22124176594369,-0.859340659340659,-0.010989010989011,-0.660066406020837,0.454545454545455,117,0.169958138942574
"all_mice","tech_moderate",2,"Small",14,0,1,-0.787596147976672,0,0.364452957447596,-0.837362637362637,-0.0989010989010989,-0.783278801811393,0.454545454545455,25,0.139863094454429
"all_mice","tech_moderate",2,"Medium",14,0,1,-0.731339280264053,0.327326835353989,0.237891110748037,-0.863736263736264,0.032967032967033,-0.662266627374239,0.428571428571429,54,0.146224889972499
"all_mice","tech_moderate",2,"Large",14,0,1,-0.712586991026513,0.436435780471985,0.267209767493384,-0.846153846153846,0.0241758241758242,-0.649065299253823,0.454545454545455,121,0.160073605359836
"all_mice","tech_strong",4,"Small",14,0,1,-0.750091569501593,0.218217890235992,0.307600938704817,-0.810989010989011,-0.134065934065934,-0.721672603916115,0.428571428571429,22,0.126048415230289
"all_mice","tech_strong",4,"Medium",14,0,1,-0.768843858739132,0.109108945117996,0.237237635519046,-0.876923076923077,0.0549450549450549,-0.717272161209309,0.408450704225352,51,0.130305588557498
"all_mice","tech_strong",4,"Large",14,0,1,-0.693834701788973,0.545544725589981,0.274615056083406,-0.876923076923077,-0.0461538461538462,-0.629263307073198,0.433691756272401,112,0.144637422772326
"remove_lowest_depth_3_9_M","original",0,"Small",13,0,0.9,-0.535790027657869,0.327326835353989,0.183474167796434,-0.747252747252747,-0.236263736263736,-0.734526141920774,0.379310344827586,19,0.191486312055244
"remove_lowest_depth_3_9_M","original",0,"Medium",13,0,0.95,-0.611499488087786,0.327326835353989,0.241614126605534,-0.796703296703297,-0.126373626373626,-0.764787518554214,0.403526051413375,57,0.192446612798626
"remove_lowest_depth_3_9_M","original",0,"Large",13,0,1,-0.687208948517702,0.327326835353989,0.18744101740695,-0.851648351648352,-0.0659340659340659,-0.723522004963159,0.423487544483986,123,0.190725940853721
"remove_lowest_depth_3_9_M","tech_mild",1,"Small",13,0,0.925,-0.608587585763558,0.327326835353989,0.132455880378819,-0.730769230769231,-0.186813186813187,-0.73177510768137,0.367621274108708,21,0.171034135823446
"remove_lowest_depth_3_9_M","tech_mild",1,"Medium",13,0,0.95,-0.611499488087786,0.327326835353989,0.254793750897133,-0.802197802197802,-0.120879120879121,-0.756534415836003,0.408520557456728,61,0.17779435925656
"remove_lowest_depth_3_9_M","tech_mild",1,"Large",13,0,1,-0.663913729923882,0.436435780471985,0.162696432271483,-0.862637362637363,-0.0164835164835165,-0.654746148978068,0.423505572441743,118,0.178190664631696
"remove_lowest_depth_3_9_M","tech_moderate",2,"Small",13,0,0.925,-0.585292367169738,0.327326835353989,0.2346004072525,-0.747252747252747,-0.258241758241758,-0.781293723990636,0.379310344827586,19,0.147958151858146
"remove_lowest_depth_3_9_M","tech_moderate",2,"Medium",13,0,0.95,-0.634794706681606,0.218217890235992,0.253638290993648,-0.824175824175824,-0.0934065934065934,-0.775791655511829,0.408450704225352,58,0.162099290679334
"remove_lowest_depth_3_9_M","tech_moderate",2,"Large",13,0,1,-0.663913729923882,0.436435780471985,0.193153475444301,-0.862637362637363,-0.0164835164835165,-0.654746148978068,0.428571428571429,120,0.169417370795899
"remove_lowest_depth_3_9_M","tech_strong",4,"Small",13,0,0.975,-0.661001827599654,0.327326835353989,0.172090571458857,-0.824175824175824,-0.175824175824176,-0.73177510768137,0.379310344827586,22,0.1323793793848
"remove_lowest_depth_3_9_M","tech_strong",4,"Medium",13,0,0.95,-0.634794706681606,0.218217890235992,0.184665202265731,-0.82967032967033,-0.0879120879120879,-0.767538552793618,0.388888888888889,55,0.146649980635894
"remove_lowest_depth_3_9_M","tech_strong",4,"Large",13,0,1,-0.663913729923882,0.436435780471985,0.180434834206719,-0.857142857142857,-0.021978021978022,-0.662999251696279,0.415933639074756,104,0.154620982759423
