"mouse","young_module_score","old_module_score","raw_score","calibrated_score","gene_coverage","weighted_coverage","young_reference_center","old_reference_center","calibration_denominator","model","age","age_months","age_group","sex","n_cells","pseudobulk_library_size","pseudobulk_detected_genes"
"3_38_F",0.76793001202708,-0.5535737095625,1.32150372158958,0.946417850492836,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.828781577693315,-0.849118132837452,1.67789971053077,1.08642598878289,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.862007268768664,-0.518201799536235,1.3802090683049,0.969479912234054,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.622631502833885,-0.912957631155216,1.5355891339891,1.03052008776595,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.23542879753348,-0.379718754022951,1.61514755155643,1.06177415985019,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.432236810858795,-0.861022028348101,1.2932588392069,0.935322009009407,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.597372795232585,0.664795995434648,-1.26216879066723,-0.0685632088253375,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","18m",18,"Old","female",82,97642498,13280
"18_47_F",-0.612590822436909,0.87124439230865,-1.48383521474556,-0.155643603441514,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","18m",18,"Old","female",76,89804246,13216
"18_45_M",-0.575224108016207,0.527324601587291,-1.1025487096035,-0.0058573673543504,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.58400866076295,0.224539265626073,-0.808547926389022,0.109639169057204,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.648466399009055,0.724072040757536,-1.37253843976659,-0.111921298067689,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.670599688942566,0.0906786186225355,-0.761278307565102,0.128208770103724,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.511729532887287,0.560998878320118,-1.0727284112074,0.00585736735435031,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.549023962427657,0.410938262805603,-0.959962225233261,0.0501569224846293,1,1,1.457899101147,-1.08763856040545,2.54553766155245,"factorial_medium_original","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.72958691470093,-0.617842769457375,1.34742968415831,0.986925080469382,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.907481552810715,-0.804122251354758,1.71160380416547,1.13506778167893,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.771995459976994,-0.530805879967095,1.30280133994409,0.968770678222805,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.542739683097889,-0.888769665732603,1.43150934883049,1.02112791904859,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.09242546872595,-0.319287467666186,1.41171293639214,1.01307491953062,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","3m",3,"Young","male",75,82136470,14241
