token_length,condition,n_kept,n_dropped_old,n_dropped_young,loo_accuracy,loo_correct,loo_n,perm_p,pearson_r,pearson_p,centroid_dist
256,fixed,815,0,0,0.9285714285714286,13,14,0.001,0.6193793489187681,1.6760866024817127e-87,0.005859527719348612
256,cellset_control,815,0,0,0.7857142857142857,11,14,0.05,0.690967935263169,1.0719916212702224e-116,0.013060555923699035
384,fixed,815,0,0,0.8571428571428571,12,14,0.011,0.5974584603233257,5.2380719872135345e-80,0.004476515609538212
384,cellset_control,815,0,0,0.7857142857142857,11,14,0.05,0.690967935263169,1.0719916212702224e-116,0.013060555923699035
512,fixed,809,6,0,0.7857142857142857,11,14,0.044,0.5580347061467954,2.087011234790661e-67,0.0040260223386082705
512,cellset_control,809,6,0,0.7857142857142857,11,14,0.056,0.6859158995824962,1.576978168596781e-113,0.012970300177944982
768,fixed,780,34,1,0.8571428571428571,12,14,0.015,0.5443204957363589,2.2727382063795883e-61,0.006460629348319369
768,cellset_control,780,34,1,0.7857142857142857,11,14,0.056,0.6750060200232896,7.730493958381032e-105,0.012848929333158954
1024,fixed,697,116,2,0.8571428571428571,12,14,0.004,0.5740469424078818,2.440247404388655e-62,0.008851153400240896
1024,cellset_control,697,116,2,0.7857142857142857,11,14,0.058,0.639062636625974,2.8436015266441993e-81,0.012053568417400573
1536,fixed,501,306,8,1.0,14,14,0.0,0.4952374786447804,2.3208704818411334e-32,0.009515836042262249
1536,cellset_control,501,306,8,0.7142857142857143,10,14,0.12,0.5960832823432822,1.614273027758345e-49,0.010967131913985684
2048,fixed,388,378,49,0.7142857142857143,10,14,0.141,0.4754979901091244,2.77856850185615e-23,0.013425746066832889
2048,cellset_control,388,378,49,0.7142857142857143,10,14,0.141,0.4754979901091244,2.77856850185615e-23,0.013425746066832889
