"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Sox17",29,7,78,69,74,90,57,54,36,67,34,63
"Mrpl15",28,28,280,208,124,158,141,170,103,82,119,126
"Lypla1",58,50,196,208,160,185,159,184,105,97,169,165
"Tcea1",126,77,498,416,525,566,488,506,307,250,397,443
"Rgs20",3,3,16,16,2,12,8,5,6,4,6,10
"Atp6v1h",52,38,224,152,185,217,186,211,89,83,113,135
"Rb1cc1",58,50,163,104,220,214,163,249,124,137,171,198
"Pcmtd1",65,49,159,173,258,289,255,288,161,156,259,224
"Rrs1",146,121,721,307,462,585,435,445,294,214,330,284
"Adhfe1",3,2,7,8,8,22,22,21,20,10,12,14
"2610203C22Rik",1,0,3,12,8,6,14,3,8,7,8,4
"Mybl1",2,0,2,2,3,6,3,4,2,5,2,0
"Vcpip1",19,12,50,37,55,66,53,61,35,24,41,35
"Sgk3",6,4,25,26,31,34,27,35,19,15,22,23
"Snhg6",109,63,847,555,440,484,338,452,239,211,356,381
"Cops5",46,33,304,232,203,248,202,206,102,101,190,216
"Cspp1",15,7,22,21,49,65,39,58,29,22,42,35
"Arfgef1",43,29,125,103,108,129,116,121,65,62,84,105
"Prex2",20,14,104,55,89,120,86,87,70,41,72,94
"Sulf1",113,109,460,388,400,379,289,375,185,185,423,394
"Ncoa2",22,12,52,64,63,63,58,73,58,43,52,76
"Tram1",287,232,1262,1178,901,956,863,891,453,406,883,800
"Lactb2",5,3,31,36,28,49,33,44,25,14,28,19
"Gm5523",1,1,6,1,9,13,7,11,3,2,14,8
"Eya1",1,1,4,4,2,2,2,2,9,4,7,9
"Msc",8,5,81,143,31,26,57,41,30,20,25,28
"Terf1",20,13,67,65,61,102,90,89,43,48,57,46
"Gm106",16,16,35,42,55,34,37,50,18,31,49,31
"Rpl7",2006,1567,21019,16768,12932,14319,9723,12230,7753,6652,9704,9747
"Rdh10",57,36,658,298,326,349,230,251,163,157,118,129
"Stau2",6,13,15,15,30,23,21,28,14,19,19,26
"Ube2w",101,66,298,263,230,271,251,315,148,146,243,236
"Tceb1",323,210,1463,1096,1358,1664,1259,1362,871,643,1073,1006
"Tmem70",47,34,163,155,148,179,164,201,103,90,133,144
"Ly96",30,25,139,118,104,119,109,103,52,49,89,76
"Jph1",2,5,10,4,8,10,19,16,7,6,10,9
"Pi15",39,24,51,46,87,83,67,62,27,29,68,75
"Crispld1",64,74,155,146,218,182,150,173,74,109,259,291
"Mcm3",6,5,32,33,22,18,22,24,16,9,7,18
"Paqr8",3,5,13,14,10,11,13,18,16,4,12,10
"Efhc1",1,1,18,24,21,25,20,22,6,5,18,20
"Tram2",2,0,14,9,2,6,4,7,5,3,9,8
"Tmem14a",29,27,93,76,91,89,71,64,55,30,89,82
"Gsta3",6,2,112,58,16,32,110,66,55,30,11,14
"Kcnq5",0,2,1,1,7,6,1,3,0,0,3,2
"Ogfrl1",45,21,239,188,94,134,160,164,97,83,82,113
"Smap1",118,74,430,343,411,409,345,428,176,180,389,421
"1110058L19Rik",33,16,137,155,111,129,119,129,62,45,110,122
"Fam135a",11,12,49,44,42,30,41,45,25,29,25,31
"Lmbrd1",107,75,398,335,385,452,431,508,214,221,322,282
"Phf3",33,26,94,101,156,182,136,146,76,68,116,120
"Ptp4a1",162,136,634,385,435,507,394,464,261,259,423,292
"Prim2",10,6,34,40,26,37,28,33,16,15,23,26
"Rab23",37,33,146,164,165,163,158,185,102,83,131,124
"Bag2",8,11,52,52,45,60,57,58,30,31,31,41
"Zfp451",14,7,41,32,44,44,38,44,27,22,43,44
"Bend6",7,9,29,20,22,30,23,33,16,12,18,18
"Dst",170,89,452,364,457,457,299,410,237,233,359,353
"Ccdc115",32,11,139,109,102,121,62,83,53,46,67,93
"Imp4",27,22,194,117,114,95,95,118,66,58,71,73
"Ptpn18",1,1,18,20,14,14,9,18,20,14,10,14
"Arhgef4",0,3,7,0,0,2,1,2,4,1,2,5
"Fam168b",55,61,299,255,209,216,139,199,121,121,162,161
"Plekhb2",22,19,47,55,83,83,61,96,57,40,52,44
"Hs6st1",13,17,101,71,67,82,41,74,21,42,43,65
"Uggt1",34,17,205,169,105,114,68,126,67,37,101,107
"Neurl3",3,8,8,6,29,40,17,28,17,19,27,13
"Arid5a",287,184,925,664,674,1012,866,1041,580,521,736,651
"4632411B12Rik",27,25,131,101,108,129,79,93,73,71,101,73
"Lman2l",15,15,60,51,33,30,28,51,23,21,36,37
"Cnnm4",45,20,79,57,105,127,111,97,88,66,76,86
"Cnnm3",9,10,37,50,20,34,26,33,26,19,28,20
"Ankrd23",3,2,0,0,5,8,2,2,3,4,4,2
"Ankrd39",14,9,55,50,47,36,44,43,34,24,33,35
"Sema4c",73,46,202,167,258,294,384,426,234,230,180,212
"Fam178b",9,5,11,13,16,16,14,15,4,7,9,12
"Cox5b",486,304,2554,2050,1795,1970,1575,1810,1065,857,1344,1429
"Actr1b",43,26,242,206,150,166,125,135,94,97,131,163
"Tmem131",32,24,143,127,145,116,85,122,73,48,101,112
"Inpp4a",29,39,80,60,74,103,55,76,44,50,89,65
"6330578E17Rik",27,21,153,125,89,114,58,97,39,49,83,106
"Unc50",71,43,347,297,197,236,235,223,128,112,195,226
"Mgat4a",8,5,35,29,27,32,15,26,22,14,17,27
"Tsga10",3,1,2,3,17,11,9,14,10,5,9,9
"Mitd1",41,29,145,102,135,168,150,165,93,73,124,92
"Mrpl30",206,130,1101,930,680,732,596,707,412,355,598,588
"Txndc9",80,53,316,313,316,370,344,348,180,157,285,257
"Eif5b",153,108,448,358,636,780,584,648,400,309,466,547
"Rev1",25,18,65,47,82,78,77,98,45,53,65,73
"Aff3",81,55,81,109,228,195,83,124,54,53,169,150
"Chst10",5,2,8,13,7,12,11,14,14,11,12,19
"Pdcl3",90,91,346,342,427,480,430,475,214,217,313,341
"Npas2",37,23,117,99,98,79,52,78,39,41,91,89
"Rpl31",1937,1491,24534,19396,12841,13790,8657,10732,7629,6577,9933,9887
"Tbc1d8",6,5,20,29,18,32,26,19,14,13,23,16
"D1Bwg0212e",10,10,83,67,59,61,49,68,29,31,49,46
"Rnf149",61,36,406,225,147,179,145,224,93,108,156,180
