"gene","direction","module","adjusted_logFC","age_rho","reliability","weight","equal_weight","training_mean","training_sd","FDR","pi_LOMO","pi_depth","pi_sex","q_g","primary_model","weighting"
"Clec3a","young_high","young_module",3.20751942250461,-0.813629069697054,1,1,1,1.89337935489973,2.85910000340878,0.754787711670436,1,1,1,2.60973104376766,TRUE,"equal_weight_sensitivity"
"Bglap","young_high","young_module",5.08745890694878,-0.46178947199022,1,1,1,-0.114434505518161,1.6585749835361,0.23312742917226,1,1,1,2.34933496241182,TRUE,"equal_weight_sensitivity"
"Ostn","young_high","young_module",5.6468760777125,-0.40272194936066,1,1,1,-0.75995747583779,1.34836419144834,0.0588761795021925,1,1,1,2.27412094181446,TRUE,"equal_weight_sensitivity"
"Cma1","young_high","young_module",2.9361286612763,-0.725669170270345,1,1,1,-0.389126442479067,0.838326551873994,0.751006653302126,1,1,1,2.13065804943535,TRUE,"equal_weight_sensitivity"
"D3Bwg0562e","young_high","young_module",2.90105692711111,-0.567727090763491,1,1,1,0.182055173464072,0.882342252706402,0.107563816444664,1,1,1,1.64700860936806,TRUE,"equal_weight_sensitivity"
"Emid2","young_high","young_module",2.84163175396523,-0.567727090763491,1,1,1,0.623734188964763,1.01592354777091,0.0634727080458943,1,1,1,1.61327132869984,TRUE,"equal_weight_sensitivity"
"Bglap2","young_high","young_module",6.7106626817355,-0.226416706425863,1,1,1,-0.086522545784,1.86905626287475,0.526645198767796,1,1,1,1.5194061423335,TRUE,"equal_weight_sensitivity"
"Folr1","young_high","young_module",1.96487698777918,-0.764248006797007,1,1,1,0.643065319489194,0.634319002217273,0.256588821318753,1,1,1,1.50165332151155,TRUE,"equal_weight_sensitivity"
"Ccdc81","young_high","young_module",1.92613974335903,-0.764248006797007,1,1,1,0.0745987766209969,0.728233016636476,0.723694512279891,1,1,1,1.47204845967464,TRUE,"equal_weight_sensitivity"
"Rprm","young_high","young_module",2.30811548665042,-0.637709270843637,1,1,1,0.0143701796280039,1.04420806965335,0.502284315768698,1,1,1,1.47190664401475,TRUE,"equal_weight_sensitivity"
"Col2a1","young_high","young_module",2.56420257097421,-0.567727090763491,1,1,1,1.31221241966911,0.961716402115017,0.0543856178529038,1,1,1,1.45576726574745,TRUE,"equal_weight_sensitivity"
"Tnfrsf11b","young_high","young_module",1.75159201781056,-0.786083664134064,1,1,1,1.96959479127537,1.16412837151818,0.344297797508252,1,1,1,1.3768978714285,TRUE,"equal_weight_sensitivity"
"Gprc5c","young_high","young_module",3.04751085653988,-0.444554224474387,1,1,1,-0.557364165351607,0.839190095693404,0.723694512279891,1,1,1,1.35478382540636,TRUE,"equal_weight_sensitivity"
