mouse,age,age_months,age_group,sex,kaile_v1_1_youth_score,zihan_v2_1_calibrated_score,raw_library_size,pseudobulk_detected_genes,kaile_v1_1_n_cells,kaile_rank_young_high,zihan_rank_young_high,rank_delta_kaile_minus_zihan
18-M-53,18m,18,Old,male,0.27620087735979765,0.2995464245441931,6989283.0,14391,958,2.0,7.0,-5.0
21-F-55,21m,21,Old,female,0.12184547587185478,0.3166240858639303,7294131.0,14811,1077,10.0,6.0,4.0
21-F-54,21m,21,Old,female,0.19358992926115598,0.3476689383723934,6384074.0,14574,930,6.0,3.0,3.0
24-M-59,24m,24,Old,male,0.14063200326382003,0.2573392279382793,6890188.0,14674,950,8.0,10.0,-2.0
3-F-56,3m,3,Young,female,0.2694020203837961,0.4037782120641563,5325951.0,14701,715,3.0,2.0,1.0
18-M-52,18m,18,Old,male,0.17453531200130076,0.2866436207525513,8767654.0,14502,1328,7.0,8.0,-1.0
3-F-57,3m,3,Young,female,0.29804147739283127,0.4315928332230049,5351325.0,14562,753,1.0,1.0,0.0
18-F-50,18m,18,Old,female,0.1979224202613537,0.3453952976873949,1724137.0,13494,400,5.0,5.0,0.0
18-F-51,18m,18,Old,female,0.2231832829230241,0.3471596647767244,1240882.0,13107,271,4.0,4.0,0.0
24-M-58,24m,24,Old,male,0.12273302110201596,0.272526097763892,5915858.0,14493,921,9.0,9.0,0.0
24-M-60,24m,24,Old,male,0.06737237513538563,0.1866389147757534,3993670.0,14213,746,12.0,12.0,0.0
24-M-61,24m,24,Old,male,0.10153460381928317,0.228586894811728,3503529.0,14010,600,11.0,11.0,0.0
