mouse,age,age_months,age_group,sex,kaile_v1_1_youth_score,kaile_v1_1_predicted_age,kaile_v1_1_n_cells,kaile_v1_1_gene_overlap,mean_cell_n_counts,mean_cell_n_genes,packaged_v1_1_youth_score,packaged_v1_1_predicted_age,packaged_cells,score_diff_local_minus_packaged
3-F-56,3m,3,Young,female,0.2694020203837961,14.139223102797203,715,1.0,7448.882517482518,2039.909090909091,0.2694020250191409,14.085246,715,-4.635344774683858e-09
3-F-57,3m,3,Young,female,0.29804147739283127,14.009083400398406,753,1.0,7106.673306772908,2005.4555112881806,0.2980414773172505,13.90852,753,7.558076386970924e-11
18-F-50,18m,18,Old,female,0.1979224202613537,15.767748537750002,400,1.0,4310.3425,1503.98,0.1979224150513454,15.648084,400,5.210008313660808e-09
18-F-51,18m,18,Old,female,0.2231832829230241,15.225883485977858,271,1.0,4578.90036900369,1608.7121771217712,0.2231832821659417,15.237161,271,7.570824245295427e-10
18-M-52,18m,18,Old,male,0.17453531200130076,15.31613210188253,1328,1.0,6602.149096385542,1737.3990963855422,0.1745353154236537,15.2967825,1328,-3.4223529288279764e-09
18-M-53,18m,18,Old,male,0.27620087735979765,14.828129485490606,958,1.0,7295.702505219207,1915.7066805845511,0.2762008805813994,14.772979,958,-3.2216017631370164e-09
21-F-54,21m,21,Old,female,0.19358992926115598,14.572648987096773,930,1.0,6864.595698924732,1905.0483870967741,0.1935899258408372,14.503363,930,3.420318778202258e-09
21-F-55,21m,21,Old,female,0.12184547587185478,15.180981499442897,1077,1.0,6772.637883008357,1890.3779015784587,0.1218454782463853,15.164889,1077,-2.3745305166578135e-09
24-M-58,24m,24,Old,male,0.12273302110201596,15.332482121172639,921,1.0,6423.298588490771,1809.8783930510315,0.1227330216581319,15.2930765,921,-5.561159310829566e-10
24-M-59,24m,24,Old,male,0.14063200326382003,14.645775107789474,950,1.0,7252.829473684211,1975.703157894737,0.1406320041655599,14.600366,950,-9.017398772126484e-10
24-M-60,24m,24,Old,male,0.06737237513538563,15.760843994638071,746,1.0,5353.445040214478,1596.9785522788204,0.0673723734829978,15.758027,746,1.6523878376695222e-09
24-M-61,24m,24,Old,male,0.10153460381928317,15.6512459545,600,1.0,5839.215,1711.7983333333334,0.1015346013671659,15.669131,600,2.452117273121779e-09
