mouse,age,age_months,age_group,sex,kaile_v1_1_youth_score,zihan_v2_1_calibrated_score,raw_library_size,pseudobulk_detected_genes,kaile_v1_1_n_cells,kaile_rank_young_high,zihan_rank_young_high,rank_delta_kaile_minus_zihan
18_47_F,18m,18,Old,female,0.4429306251010595,-0.1554108587199541,89804246.0,13216,76,7.0,14.0,-7.0
24_59_M,24m,24,Old,male,0.0237183601445572,0.1282978449099434,161460489.0,10615,68,13.0,7.0,6.0
3_39_F,3m,3,Young,female,0.7686848850963893,1.0863437858426417,66348808.0,12415,53,5.0,1.0,4.0
3_9_M,3m,3,Young,male,0.9411480422698704,0.9352713320314684,9599638.0,11393,17,2.0,6.0,-4.0
18_46_F,18m,18,Old,female,0.1586755003429589,-0.0684042140123953,97642498.0,13280,82,8.0,12.0,-4.0
18_53_M,18m,18,Old,male,0.1513981163279686,0.1097480463175896,87537694.0,12432,45,10.0,8.0,2.0
3_38_F,3m,3,Young,female,0.5998396880632809,0.946363282598969,79934534.0,12876,77,6.0,5.0,1.0
3_10_M,3m,3,Young,male,0.9005552787231398,0.9693809408701656,28380229.0,12456,28,3.0,4.0,-1.0
3_11_M,3m,3,Young,male,0.8535989152293386,1.030454510559918,17415067.0,10153,14,4.0,3.0,1.0
3_8_M,3m,3,Young,male,0.9623768767664338,1.061632294294651,82136470.0,14241,75,1.0,2.0,-1.0
18_45_M,18m,18,Old,male,0.0430583741838606,-0.0057159356148262,108019124.0,11115,31,12.0,11.0,1.0
24_58_M,24m,24,Old,male,0.0209968472790584,-0.1116756439988686,132161042.0,11177,79,14.0,13.0,1.0
24_60_M,24m,24,Old,male,0.0756412916442515,0.005978170659578,116295606.0,11216,91,11.0,10.0,1.0
24_61_M,24m,24,Old,male,0.1531825503394358,0.0502728273267179,101230452.0,11634,79,9.0,9.0,0.0
