sample_id,model,n_cells,pseudobulk_library_size,young_module_score,old_module_score,raw_score,calibrated_score,gene_coverage,weighted_coverage
18_45_M,factorial_medium_original,31,108019124.0,-0.5752763638241427,0.5269123259598564,-1.1021886897839992,-0.005715935614826286,1.0,1.0
18_46_F,factorial_medium_original,82,97642498.0,-0.5974097767120858,0.6643542866708102,-1.2617640633828962,-0.06840421401239535,1.0,1.0
18_47_F,factorial_medium_original,76,89804246.0,-0.6126353127499962,0.870607441541304,-1.4832427542913003,-0.15541085871995416,1.0,1.0
18_53_M,factorial_medium_original,45,87537694.0,-0.5840591629253026,0.22421161229692005,-0.8082707752222227,0.10974804631758969,1.0,1.0
24_58_M,factorial_medium_original,79,132161042.0,-0.6485112959490736,0.7234018221336205,-1.371913118082694,-0.11167564399886867,1.0,1.0
24_59_M,factorial_medium_original,68,161460489.0,-0.670615250374924,0.0904363139162497,-0.7610515642911737,0.1282978449099434,1.0,1.0
24_60_M,factorial_medium_original,91,116295606.0,-0.5117794545239066,0.5606414473203993,-1.072420901844306,0.005978170659578089,1.0,1.0
24_61_M,factorial_medium_original,79,101230452.0,-0.5490746359985487,0.4105925490940175,-0.9596671850925662,0.05027282732671795,1.0,1.0
3_10_M,factorial_medium_original,28,28380229.0,0.8614963917645717,-0.5184607412061334,1.3799571329707052,0.9693809408701655,1.0,1.0
3_11_M,factorial_medium_original,14,17415067.0,0.6223379744417995,-0.9130842302996192,1.5354222047414186,1.030454510559918,1.0,1.0
3_38_F,factorial_medium_original,77,79934534.0,0.7676491243576967,-0.5537156926029333,1.32136481696063,0.946363282598969,1.0,1.0
3_39_F,factorial_medium_original,53,66348808.0,0.8284684613315263,-0.8492219985189375,1.6776904598504638,1.0863437858426417,1.0,1.0
3_8_M,factorial_medium_original,75,82136470.0,1.2346122697209094,-0.3801741577210092,1.6147864274419186,1.061632294294651,1.0,1.0
3_9_M,factorial_medium_original,17,9599638.0,0.4319443143934651,-0.8611855246575143,1.2931298390509793,0.9352713320314685,1.0,1.0
