HALLMARK_E2F_TARGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ak2,Anp32e,Asf1a,Asf1b,Atad2,Aurka,Aurkb,Bard1,Birc5,Brca1,Brca2,Brms1l,Bub1b,Cbx5,Ccnb2,Ccne1,Ccp110,Cdc20,Cdc25a,Cdc25b,Cdca3,Cdca8,Cdk1,Cdk4,Cdkn1a,Cdkn1b,Cdkn2a,Cdkn2c,Cdkn3,Cenpe,Cenpm,Chek1,Chek2,Cit,Cks1b,Cks2,Cnot9,Cse1l,Ctcf,Ctps1,Dck,Dclre1b,Dctpp1,Ddx39a,Dek,Depdc1a,Diaph3,Dlgap5,Dnmt1,Donson,Dscc1,Dut,E2f8,Eed,Eif2s1,Espl1,Exosc8,Ezh2,Gins1,Gins3,Gins4,Gspt1,H2ax,H2az1,Hells,Hmga1b,Hmgb2,Hmgb3,Hmmr,Hnrnpd,Hus1,Ilf3,Ing3,Ipo7,Jpt1,Kif18b,Kif22,Kif2c,Kif4,Lbr,Lig1,Lmnb1,Lsm8,Luc7l3,Lyar,Mad2l1,Mcm2,Mcm3,Mcm4,Mcm5,Mcm6,Mcm7,Melk,Mki67,Mlh1,Mms22l,Mre11a,Msh2,Mthfd2,Mxd3,Mybl2,Myc,Nap1l1,Nasp,Nbn,Ncapd2,Nme1,Nolc1,Nop56,Nudt21,Nup107,Nup153,Nup205,Orc2,Orc6,Pa2g4,Paics,Pan2,Pcna,Pds5b,Phf5a,Plk1,Plk4,Pms2,Pnn,Pola2,Pold1,Pold2,Pold3,Pole,Pole4,Pop7,Ppm1d,Ppp1r8,Prdx4,Prim2,Prkdc,Prps1,Psip1,Psmc3ip,Pttg1,Racgap1,Rad1,Rad21,Rad50,Rad51ap1,Rad51c,Ran,Ranbp1,Rbbp7,Rfc1,Rfc2,Rfc3,Rnaseh2a,Rpa1,Rpa2,Rpa3,Rrm2,Shmt1,Slbp,Smc1a,Smc3,Smc4,Smc6,Snrpb,Spag5,Spc24,Spc25,Srsf1,Srsf2,Ssrp1,Stag1,Stmn1,Suv39h1,Syncrip,Tacc3,Tbrg4,Tcf19,Tfrc,Timeless,Tipin,Tk1,Tmpo,Top2a,Tra2b,Trip13,Trp53,Tubb5,Tubg1,Ube2s,Ube2t,Ubr7,Ung,Usp1,Wdr90,Wee1,Xpo1,Xrcc6,Zw10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_MYC_TARGETS_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abce1,Acp1,Aimp2,Ap3s1,Apex1,Bub3,C1qbp,Cad,Canx,Cbx3,Ccna2,Cct2,Cct3,Cct4,Cct5,Cct7,Cdc20,Cdc45,Cdk2,Cdk4,Clns1a,Cnbp,Cops5,Cox5a,Cstf2,Ctps1,Cul1,Cyc1,Ddx18,Ddx21,Dek,Dhx15,Dut,Eef1b2,Eif2s1,Eif2s2,Eif3b,Eif3d,Eif3j1,Eif4a1,Eif4e,Eif4g2,Eif4h,Eprs1,Erh,Etf1,Exosc7,Fam120a,Fbl,G3bp1,Glo1,Gm10146,Gm10705,Gm4705,Gm9531,Gnl3,Got2,Gspt1,H2az1,Hdac2,Hddc2,Hdgf,Hnrnpa1,Hnrnpa2b1,Hnrnpa3,Hnrnpc,Hnrnpd,Hnrnpr,Hnrnpu,Hprt1,Hsp90ab1,Hspd1,Hspe1,Iars1,Ifrd1,Ilf2,Impdh2,Kars1,Kpnb1,Ldha,Lsm2,Mad2l1,Mcm2,Mcm4,Mcm5,Mcm6,Mcm7,Mrpl23,Mrpl9,Mrps18b,Myc,Nap1l1,Ncbp1,Ncbp2,Ndufab1,Nhp2,Nme1,Nolc1,Nop16,Nop56,Npm1,Odc1,Orc2,Pa2g4,Pabpc1,Pabpc4,Pcbp1,Pcna,Pgk1,Phb1,Phb2,Pold2,Pole3,Ppia,Ppm1g,Prdx3,Prdx4,Prpf31,Prps2,Psma1,Psma2,Psma4,Psma6,Psma7,Psmb2,Psmb3,Psmc4,Psmc6,Psmd1,Psmd14,Psmd3,Psmd7,Psmd8,Ptges3-ps,Pwp1,Rack1,Rad23b,Ran,Ranbp1,Rfc4,Rnps1,Rpl14,Rpl18,Rpl22,Rpl6,Rplp0,Rps10,Rps2,Rps3,Rps5,Rps6,Rrm1,Rrp9,Rsl1d1,Ruvbl2,Serbp1,Sf3a1,Sf3b3,Slc25a3,Smarcc1,Snrpa,Snrpa1,Snrpb2,Snrpd1,Snrpd2,Snrpd3,Snrpg,Srm,Srpk1,Srsf1,Srsf2,Srsf3,Srsf7,Ssb,Ssbp1,Stard7,Syncrip,Tardbp,Tcp1,Tfdp1,Tomm70a,Tra2b,Trim28,Tufm,Txnl4a,Tyms,Uba2,Ube2e1,Usp1,Vbp1,Vdac1,Vdac3,Xpo1,Xpot,Xrcc6,Ywhae,Ywhaq,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_MYC_TARGETS_V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aimp2,Bysl,Cbx3,Cdk4,Dctpp1,Ddx18,Dusp2,Exosc5,Farsa,Gnl3,Grwd1,Hk2,Hspd1,Hspe1,Imp4,Ipo4,Las1l,Map3k6,Mcm4,Mcm5,Mphosph10,Mrto4,Mybbp1a,Myc,Ndufaf4,Nip7,Noc4l,Nolc1,Nop16,Nop2,Nop56,Npm1,Pa2g4,Pes1,Phb1,Plk1,Plk4,Ppan,Pprc1,Prmt3,Pus1,Rabepk,Rcl1,Rrp12,Rrp9,Slc19a1,Slc29a2,Sord,Srm,Supv3l1,Tbrg4,Tcof1,Tfb2m,Tmem97,Ung,Utp20,Wdr43,Wdr74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
