token_length,condition,n_kept,n_dropped_old,n_dropped_young,loo_accuracy,perm_p,pearson_r,centroid_dist
256,fixed,815,0,0,0.9285714285714286,0.001,0.6193793489187681,0.005859527719348612
256,cellset_control,815,0,0,0.7857142857142857,0.05,0.690967935263169,0.013060555923699035
384,fixed,815,0,0,0.8571428571428571,0.011,0.5974584603233257,0.004476515609538212
384,cellset_control,815,0,0,0.7857142857142857,0.05,0.690967935263169,0.013060555923699035
512,fixed,809,6,0,0.7857142857142857,0.044,0.5580347061467954,0.0040260223386082705
512,cellset_control,809,6,0,0.7857142857142857,0.056,0.6859158995824962,0.012970300177944982
768,fixed,780,34,1,0.8571428571428571,0.015,0.5443204957363589,0.006460629348319369
768,cellset_control,780,34,1,0.7857142857142857,0.056,0.6750060200232896,0.012848929333158954
1024,fixed,697,116,2,0.8571428571428571,0.004,0.5740469424078818,0.008851153400240896
1024,cellset_control,697,116,2,0.7857142857142857,0.058,0.639062636625974,0.012053568417400573
1536,fixed,501,306,8,1.0,0.0,0.4952374786447804,0.009515836042262249
1536,cellset_control,501,306,8,0.7142857142857143,0.12,0.5960832823432822,0.010967131913985684
2048,fixed,388,378,49,0.7142857142857143,0.141,0.4754979901091244,0.013425746066832889
2048,cellset_control,388,378,49,0.7142857142857143,0.141,0.4754979901091244,0.013425746066832889
