biological_unit_id,dataset_id,species,cell_population,age_raw,age_group,exact_treatment_arm,analysis_role,animal_label,n_cells,identity_primary_median,identity_primary_mean,identity_primary_p95,identity_rank_median,identity_rank_mean,identity_rank_p95,animal_label_scope,cross_arm_pairing_status,identity_gene_coverage,qc_status
GSE176206_MSC|aged|Tg+/Dox+|animal_1,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg+/Dox+,SOKM,1,7440,0.12754833698272705,0.10841012746095657,0.4117837190628052,0.3027537167072296,0.30932173132896423,0.486475969851017,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg+/Dox+|animal_2,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg+/Dox+,SOKM,2,686,0.14817410707473755,0.12810005247592926,0.4261675998568535,0.31037265062332153,0.3138488531112671,0.48212285339832306,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg+/Dox+|animal_3,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg+/Dox+,SOKM,3,55,0.17934970557689667,0.19315865635871887,0.4905727237462997,0.4164818823337555,0.44317427277565,0.5982627630233764,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg+/Dox-|animal_1,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg+/Dox-,control,1,464,0.2252209186553955,0.23146460950374603,0.5090066730976104,0.47433286905288696,0.46700307726860046,0.6004829734563827,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg+/Dox-|animal_2,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg+/Dox-,control,2,374,0.2761980891227722,0.27155429124832153,0.5247110754251479,0.4900319278240204,0.4873194694519043,0.6275768786668777,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg+/Dox-|animal_3,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg+/Dox-,control,3,449,0.2846747636795044,0.2830837666988373,0.5100545167922974,0.48307955265045166,0.4789631962776184,0.6060796737670898,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg-/Dox+|animal_1,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg-/Dox+,control,1,357,0.1380995213985443,0.14824239909648895,0.43274878859519955,0.4785349667072296,0.4785216152667999,0.6184782743453979,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg-/Dox+|animal_2,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg-/Dox+,control,2,54,0.14566254615783691,0.18906667828559875,0.5851171016693114,0.5110856294631958,0.5101366639137268,0.643839892745018,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|aged|Tg-/Dox+|animal_3,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Aged,aged,Tg-/Dox+,control,3,314,0.15456753969192505,0.15655754506587982,0.4422838106751442,0.4844931960105896,0.4806688725948334,0.6152878314256668,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg+/Dox+|animal_1,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg+/Dox+,SOKM,1,5320,0.15107692778110504,0.13064062595367432,0.44138915687799457,0.3201137185096741,0.32831740379333496,0.5090847581624985,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg+/Dox+|animal_2,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg+/Dox+,SOKM,2,1434,0.15096479654312134,0.1363411545753479,0.43796756565570816,0.33281210064888,0.33928242325782776,0.5218010246753693,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg+/Dox+|animal_3,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg+/Dox+,SOKM,3,57,0.1928904801607132,0.15870913863182068,0.3961675465106962,0.4147627055644989,0.42153164744377136,0.6192940711975097,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg+/Dox-|animal_1,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg+/Dox-,control,1,393,0.22131465375423431,0.21809054911136627,0.45048359036445607,0.4809197187423706,0.47271493077278137,0.6167884349822997,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg+/Dox-|animal_2,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg+/Dox-,control,2,271,0.28457579016685486,0.2757705748081207,0.5357057452201843,0.4967755973339081,0.4805682897567749,0.6177205741405487,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg+/Dox-|animal_3,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg+/Dox-,control,3,582,0.2888606786727905,0.2776811122894287,0.5316461026668547,0.4823823571205139,0.4776206612586975,0.6176390200853347,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg-/Dox+|animal_1,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg-/Dox+,control,1,106,0.1685338020324707,0.1717345416545868,0.42253294587135315,0.5104430913925171,0.49913597106933594,0.6431652009487152,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg-/Dox+|animal_2,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg-/Dox+,control,2,120,0.2906162738800049,0.2674156725406647,0.5418386638164521,0.43401849269866943,0.4301822781562805,0.5697450548410415,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
GSE176206_MSC|young|Tg-/Dox+|animal_3,GSE176206_msc_sokm,Mus musculus,muscle-derived MSC,Young,young,Tg-/Dox+,control,3,210,0.16262437403202057,0.16875001788139343,0.4545789048075675,0.4966679811477661,0.4893789291381836,0.6331786096096038,nested_within_age_and_exact_treatment_arm,unpaired,1.0,pass
