gene_symbol,module,direction,source_type,source_id,source_version,source_url,rationale,included,exclusion_reason
Aaas,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ada,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Adcy6,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Adrm1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ago4,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ak1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ak3,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Alyref,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Aprt,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Arl6ip1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Bcam,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Bcap31,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Brf2,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Cant1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ccno,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Cda,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Cetn2,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Clp1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Cmpk2,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Cox17,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Cstf3,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Dad1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Dctn4,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ddb1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ddb2,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Dgcr8,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Dguok,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Dut,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Edf1,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Eif1b,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Ell,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
Eloa,dna_repair,1,Mouse_MSigDB_native_hallmark,HALLMARK_DNA_REPAIR,2026.1.Mm,http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR,Mouse genes annotated to HALLMARK_DNA_REPAIR based on orthology mappings provided by the Alliance Genome Consortium,True,
