Dedifferentiation,Inflam,Tumor
Abi3bp,Abca1,Ak2
Acta2,Abi1,Anp32e
Adam12,Acvr1b,Asf1a
Anpep,Acvr2a,Asf1b
Aplp1,Adgre1,Atad2
Areg,Adm,Aurka
Basp1,Adora2b,Aurkb
Bdnf,Adrm1,Bard1
Bgn,Ahr,Birc5
Bmp1,Aplnr,Brca1
Cadm1,Aqp9,Brca2
Cald1,Atp2a2,Brms1l
Calu,Atp2b1,Bub1b
Cap2,Atp2c1,Cbx5
Capg,Axl,Ccnb2
Ccn1,Bdkrb1,Ccne1
Ccn2,Best1,Ccp110
Cd44,Bst2,Cdc20
Cdh11,Btg2,Cdc25a
Cdh2,C3ar1,Cdc25b
Cdh6,Calcrl,Cdca3
Col11a1,Ccl17,Cdca8
Col12a1,Ccl20,Cdk1
Col16a1,Ccl22,Cdk4
Col1a1,Ccl24,Cdkn1a
Col1a2,Ccl5,Cdkn1b
Col3a1,Ccl7,Cdkn2a
Col4a1,Ccr7,Cdkn2c
Col4a2,Ccrl2,Cdkn3
Col5a1,Cd14,Cenpe
Col5a2,Cd40,Cenpm
Col5a3,Cd48,Chek1
Col6a2,Cd69,Chek2
Col6a3,Cd70,Cit
Col7a1,Cd82,Cks1b
Col8a2,Cdkn1a,Cks2
Colgalt1,Chst2,Cnot9
Comp,Clec5a,Cse1l
Copa,Cmklr1,Ctcf
Crlf1,Csf1,Ctps1
Cthrc1,Csf3,Dck
Cxcl12,Csf3r,Dclre1b
Cxcl15,Cx3cl1,Dctpp1
Cxcl5,Cxcl10,Ddx39a
Dab2,Cxcl11,Dek
Dcn,Cxcl15,Depdc1a
Dkk1,Cxcl5,Diaph3
Dpysl3,Cxcl9,Dlgap5
Dst,Cxcr6,Dnmt1
Ecm1,Cybb,Donson
Ecm2,Dcbld2,Dscc1
Edil3,Ebi3,Dut
Efemp2,Edn1,E2f8
Eln,Eif2ak2,Eed
Emp3,Emp3,Eif2s1
Eno2,Ereg,Espl1
Fap,F3,Exosc8
Fas,Ffar2,Ezh2
