Pluripotency,Genomic_Stress
Nanog,Abat
Pou5f1,Abcc5
Sox2,Abhd4
Snca,Acvr1b
Fgf13,Ada
Fut4,Aen
Cd34,Ak1
Sall4,Alox8
Utf1,Ankra2
Zfp42,Apaf1
,Baiap2
,Bak1
,Bax
,Blcap
,Bmp2
,Casp1
,Ccnd3
,Ccng1
,Cd82
,Cdh13
,Cdk5r1
,Cdkn2aip
,Cdkn2b
,Cebpa
,Cgrrf1
,Clca2
,Coq8a
,Csrnp2
,Ctsf
,Cyfip2
,Dcxr
,Ddb2
,Ddit3
,Ddit4
,Def6
,Dgka
,Dnttip2
,Dram1
,Ei24
,Elp1
,Epha2
,Eps8l2
,Ercc5
,F2r
,Fam162a
,Fas
,Fbxw7
,Fdxr
,Fgf13
,Foxo3
,Gadd45a
,Gls2
,Gpx2
,H1f2
,H2ac25
,H2aj
,Hbegf
,Hdac3
,Hexim1
,Hras
,Hspa4l
,Ier3
,Ifi30
,Il1a
,Inhbb
,Ip6k2
,Irag2
,Irak1
,Itgb4
,Jag2
,Kif13b
,Klk8
,Krt17
,Ldhb
,Lif
,Mapkapk3
,Mdm2
,Mknk2
,Mxd1
,Mxd4
,Ndrg1
,Nhlh2
,Ninj1
,Nol8
,Notch1
,Nudt15
,Osgin1
,Pdgfa
,Perp
,Phlda3
,Pidd1
,Pitpnc1
,Plk2
,Plk3
,Plxnb2
,Pmm1
,Polh
,Pom121
,Prkab1
,Prmt2
,Ptpn14
,Ptpre
,Pvt1
,Rab40c
,Rad9a
,Ralgds
,Rap2b
,Rb1
,Rchy1
,Retsat
,Rgs16
,Rhbdf2
,Rnf19b
,Rrad
,Rrp8
,Rxra
,S100a4
,Sdc1
,Serpinb5
,Sertad3
,Sesn1
,Sfn
,Slc19a2
,Slc35d1
,Slc7a11
,Socs1
,Sphk1
,St14
,Stom
,Tap1
,Tax1bp3
,Tchh
,Tcn2
,Tgfa
,Tm4sf1
,Tm7sf3
,Tnfsf9
,Tnni1
,Tob1
,Tpd52l1
,Tprkb
,Traf4
,Trafd1
,Triap1
,Trib3
,Trp63
,Tsc22d1
,Tspyl2
,Txnip
,Upp1
,Vamp8
,Vdr
,Vwa5a
,Wrap73
,Wwp1
,Xpc
,Zbtb16
,Zfp365
,Zmat3
,Aaas
,Adcy6
,Ago4
,Alyref
,Aprt
,Bcam
,Brf2
,Cant1
,Ccno
,Cda
,Cetn2
,Clp1
,Cmpk2
,Cstf3
,Dgcr8
,Dguok
,Edf1
,Eloa
,Ercc1
,Ercc2
,Ercc3
,Ercc4
,Ercc8
,Fen1
,Gmpr2
,Gsdme
,Gtf2a2
,Gtf2h1
,Gtf2h3
,Gtf2h5
,Gtf3c5
,Hcls1
,Hprt1
,Impdh2
,Itpa
,Mpc2
,Mpg
,Mrpl40
,Nelfcd
,Nelfe
,Nme3
,Nme4
,Npr2
,Nt5c
,Nt5c3
,Pde6g
,Pola1
,Polb
,Pold4
,Poll
,Polr1c
,Polr1h
,Polr2a
,Polr2d
,Polr2e
,Polr2f
,Polr2g
,Polr2h
,Polr2i
,Polr3gl
,Prim1
,Rad51
,Rad52
,Rae1
,Rev3l
,Rfc4
,Rfc5
,Rnmt
,Rrm2b
,Sac3d1
,Smad5
,Snapc4
,Snapc5
,Stx3
,Supt4a
,Supt5
,Surf1
,Taf12
,Taf13
,Taf1c
,Taf6
,Taf9
,Tarbp2
,Tk2
,Tsg101
,Tyms
,Umps
,Upf3b
,Usp11
,Vps28
,Vps37b
,Vps37d
,Zfp707
,Zwint
