external_age_group,external_treatment,external_replicate,youth_score,cells
aged,SOKM,1,0.2957849218722431,7440
aged,SOKM,2,0.31896388954642635,686
aged,SOKM,3,0.4171089868442767,55
aged,control,1,0.4840216070384607,821
aged,control,2,0.4890605733655163,428
aged,control,3,0.5044569086139515,763
young,SOKM,1,0.3273351552054053,5320
young,SOKM,2,0.36878469742078,1434
young,SOKM,3,0.40125829794799983,57
young,control,1,0.5116176137751464,499
young,control,2,0.5343936599479854,391
young,control,3,0.539326902802878,792
