mouse_id,age,age_months,sex,youth_score,predicted_age_months,cells
1-M-62,1m,1.0,male,0.44492337183178604,13.088394,1247
1-M-63,1m,1.0,male,0.5312696009780244,13.176025,1109
3-F-56,3m,3.0,female,0.2694020250191409,14.085246,715
3-F-57,3m,3.0,female,0.2980414773172505,13.90852,753
18-F-50,18m,18.0,female,0.19792241505134542,15.648084,400
18-F-51,18m,18.0,female,0.2231832821659417,15.237161,271
18-M-52,18m,18.0,male,0.1745353154236537,15.2967825,1328
18-M-53,18m,18.0,male,0.27620088058139947,14.772979,958
21-F-54,21m,21.0,female,0.19358992584083728,14.503363,930
21-F-55,21m,21.0,female,0.12184547824638539,15.164889,1077
24-M-58,24m,24.0,male,0.12273302165813199,15.2930765,921
24-M-59,24m,24.0,male,0.14063200416555993,14.600366,950
24-M-60,24m,24.0,male,0.06737237348299786,15.758027,746
24-M-61,24m,24.0,male,0.1015346013671659,15.669131,600
30-M-4,30m,30.0,male,0.14382276929812685,14.623779,647
30-M-5,30m,30.0,male,0.14517215154516347,14.958942,385
