"gene","3_38_F","3_39_F","3_10_M","3_11_M","3_8_M","3_9_M","18_46_F","18_47_F","18_45_M","18_53_M","24_58_M","24_59_M","24_60_M","24_61_M"
"0610005C13Rik",0,0,0,0,0,0,21,14,0,0,0,0,0,0
"0610007C21Rik",17106,9174,5660,6030,14281,1348,20122,10663,46765,19851,64470,134028,24968,18653
"0610007L01Rik",3274,2584,1241,572,4971,696,4657,4281,7184,1931,3036,2454,2647,2308
"0610007N19Rik",2079,1049,701,951,2155,288,520,1622,2027,2356,8384,1516,447,3512
"0610007P08Rik",545,50,449,368,1099,74,919,684,1205,25,0,178,0,15
"0610007P14Rik",1336,1445,479,699,1290,303,1153,2678,2838,1357,3978,1235,480,360
"0610007P22Rik",332,217,501,0,557,30,3643,33,2322,721,2483,8011,3731,1604
"0610008F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"0610009B22Rik",530,354,270,101,479,55,582,491,1182,217,4312,342,96,66
"0610009D07Rik",4160,4130,2168,1202,4510,530,6189,3176,8389,3120,10576,7806,4025,4424
"0610009L18Rik",329,0,0,0,69,0,0,39,0,7,287,107,224,331
"0610009O20Rik",481,276,409,471,1782,100,980,355,547,93,242,34635,357,720
"0610010B08Rik",0,0,0,1,2,0,0,0,0,1,1,0,0,0
"0610010F05Rik",1670,268,932,200,1132,404,432,644,1,47,776,581,288,1857
"0610010K14Rik",2789,2019,674,746,2588,138,4050,2187,4099,1615,10179,6423,3440,1489
"0610010O12Rik",1255,977,359,737,491,77,3465,2103,13753,1302,9095,5718,3479,3416
"0610011F06Rik",2134,1070,288,453,1159,35,2488,2009,4991,2618,11117,1926,1509,1874
"0610011L14Rik",1594,923,738,531,2036,261,679,1092,198,217,649,11,472,2426
"0610012G03Rik",1705,1226,344,694,1396,194,1825,943,3345,5550,4742,904,1656,1453
"0610012H03Rik",0,0,0,0,0,0,478,136,0,0,0,0,0,0
"0610030E20Rik",447,1269,562,434,2220,235,772,892,1360,6933,1279,923,708,542
"0610031J06Rik",13604,4888,4049,2039,10393,673,10128,7816,7581,16844,17859,10661,8817,12678
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",4149,1474,1178,655,2384,480,4514,4006,4190,12542,13310,3127,2985,5144
"0610037P05Rik",3212,1720,1040,263,2002,213,7328,3164,2149,4284,2222,66409,2856,2776
"0610038B21Rik",26,21,76,25,438,20,98,83,318,57,283,39,10,15
"0610038L08Rik",0,2,0,0,0,0,0,0,0,0,26,0,0,0
"0610039K10Rik",0,1,0,0,141,2,1,3,0,0,0,6,0,0
"0610040B10Rik",0,10,0,0,34,0,2,2,0,52,0,0,0,34
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040J01Rik",4,0,0,0,0,1,7,0,1,0,202,0,0,999
"0610043K17Rik",51,13,0,106,75,7,113,75,583,10,576,0,925,202
"0910001L09Rik",1161,377,416,335,1050,102,2289,1443,11958,2463,5061,2787,1073,607
"100043387",295,805,49,0,528,9,745,186,348,378,686,236,969,280
"1100001G20Rik",0,0,1,0,2,0,9,110,2,55,0,0,10,0
"1110001A16Rik",255,174,87,0,405,87,605,538,2104,793,1282,1010,209,381
"1110001J03Rik",1595,938,305,579,1084,100,1507,1480,6853,3567,5532,3648,164,687
"1110002B05Rik",9589,3079,2815,1537,6322,605,8232,8091,3807,4671,6785,5907,8939,11293
"1110002L01Rik",2,0,0,0,0,0,1,0,0,0,0,0,0,0
"1110002N22Rik",546,0,0,0,134,0,358,44,494,0,2376,0,111,0
"1110003E01Rik",26577,17392,7016,6323,21103,2516,41621,24364,81859,28859,110433,45142,35835,33053
"1110004E09Rik",908,838,398,140,280,251,1215,767,3310,779,1700,290,420,2088
"1110004F10Rik",6955,3953,3005,1901,4390,371,14455,7018,6655,7392,11120,8608,9585,11163
"1110005A03Rik",2728,343,953,204,4106,337,1653,1804,7899,2544,5185,9286,684,1907
"1110006O24Rik",105,0,22,0,71,0,0,6,546,0,0,0,0,0
"1110007C09Rik",2380,1149,813,499,2281,312,4395,2705,17275,9012,12225,3110,2946,4276
"1110008F13Rik",3312,2297,930,423,3177,459,4717,3961,4911,10898,11906,3093,3546,2572
"1110008J03Rik",698,317,408,0,490,34,1066,293,487,40,0,31,1130,310
"1110008L16Rik",91,48,96,1,21,1,2,56,0,14,0,0,0,23
"1110008P14Rik",590,188,341,388,815,272,1416,877,4453,4469,1408,1611,370,576
"1110012J17Rik",154,114,0,165,423,7,414,1101,7,2005,353,0,6,0
"1110012L19Rik",1055,593,253,0,896,61,743,325,5785,582,1624,724,675,335
"1110014N23Rik",815,3020,1331,53,1630,552,883,2008,2712,2191,4071,4195,512,399
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",81,0,0,0,2,0,0,0,0,0,0,0,0,0
"1110017F19Rik",0,0,7,0,44,0,0,13,0,0,77,0,0,0
"1110018G07Rik",87,225,150,7,994,0,46,712,0,22,72,579,137,39
"1110018J18Rik",1369,1004,516,536,2712,275,2147,1583,3068,645,913,593,685,1061
"1110019D14Rik",275,0,0,0,12,0,159,43,180,66,941,0,0,0
"1110020A21Rik",0,0,16,0,0,0,0,183,0,0,0,58,0,0
"1110020G09Rik",221,2,53,20,1048,67,587,2,7,142,18,0,40,153
"1110021J02Rik",676,366,173,5,508,43,68,240,0,237,0,802,0,868
"1110021L09Rik",53,164,68,0,452,13,110,109,3,38,0,14,50,195
"1110028C15Rik",491,184,25,91,2103,0,33,852,106,240,2,26,498,802
"1110028F11Rik",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110031I02Rik",232,772,311,0,900,99,953,358,0,331,3039,5410,401,1132
"1110032A03Rik",1191,830,179,333,421,16,141,1178,1384,1065,2791,198,1736,600
"1110032A04Rik",3,1,1,0,0,0,0,0,0,0,1425,0,24,0
"1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110034A24Rik",622,482,413,328,506,0,127,572,845,548,2144,1011,776,811
"1110034B05Rik",655,214,1,0,308,66,465,580,0,422,1086,340,0,1581
"1110034G24Rik",183,65,87,512,229,0,323,1041,0,172,1397,107,5,668
"1110035M17Rik",0,0,19,0,0,0,0,0,0,831,0,0,0,68
"1110036E04Rik",0,0,0,0,9,0,0,0,0,0,0,388,0,0
"1110037F02Rik",446,737,203,1,2605,77,409,174,351,167,1134,2185,15,1161
"1110038B12Rik",2232,1424,1415,187,2976,246,1958,2733,3541,1398,2689,2258,2277,1574
"1110038D17Rik",571,38,64,0,830,171,228,1160,0,24,0,0,0,3
