"model","metric","observed","boot_median","ci_low","ci_high","valid_bootstrap_n","total_bootstrap_n"
"factorial_medium_original","auc",0.979166666666667,1,0.877551020408163,1,9999,10000
"factorial_medium_original","all_age_rho",-0.632889761766969,-0.653815530157205,-0.837885005267001,-0.120324584457195,10000,10000
"factorial_medium_original","old_only_rho",0.654653670707977,0.676587614893994,0,0.909843156558549,9815,10000
"factorial_medium_original","library_rho",-0.520879120879121,-0.523385300668151,-0.794065156096764,0.100039503386004,10000,10000
"factorial_medium_original","young_old_median_difference",0.263116072872406,0.260257596873866,0.154576755309575,0.394726586378858,9999,10000
"factorial_stability_selected","auc",1,1,1,1,9990,10000
"factorial_stability_selected","all_age_rho",-0.806348437214212,-0.810092587300983,-0.923361163601611,-0.464506762588708,10000,10000
"factorial_stability_selected","old_only_rho",-0.109108945117996,-0.120346219882033,-0.877058019307029,0.828416869579514,9841,10000
"factorial_stability_selected","library_rho",-0.692307692307692,-0.678571428571429,-0.919642857142857,-0.218540425752319,10000,10000
"factorial_stability_selected","young_old_median_difference",0.260199089123102,0.255859245368928,0.10820414002718,0.44348767422187,9990,10000
"age_only_de","auc",1,1,1,1,9997,10000
"age_only_de","all_age_rho",-0.768843858739132,-0.780234729915449,-0.904421101086152,-0.363885859674778,10000,10000
"age_only_de","old_only_rho",0.109108945117996,0.10976425998969,-0.784464540552736,0.900070320740819,9813,10000
"age_only_de","library_rho",-0.727472527472527,-0.705357142857143,-0.937781226903178,-0.276785714285714,10000,10000
"age_only_de","young_old_median_difference",0.263732679675761,0.264890949728733,0.151217023548885,0.41311544123225,9997,10000
"pc1_baseline","auc",0.854166666666667,0.875,0.583333333333333,1,9998,10000
"pc1_baseline","all_age_rho",-0.51099988172296,-0.520193556575719,-0.829481958605563,0.0255877910627401,10000,10000
"pc1_baseline","old_only_rho",0.218217890235992,0.234155205870246,-0.707106781186548,0.900070320740819,9820,10000
"pc1_baseline","library_rho",-0.424175824175824,-0.411764705882353,-0.774372494940276,0.128807702315899,10000,10000
"pc1_baseline","young_old_median_difference",0.221471270620365,0.221471270620365,-0.00363178550314003,0.524618361532145,9998,10000
"elastic_net","auc",0.645833333333333,0.666666666666667,0.285714285714286,1,9996,10000
"elastic_net","all_age_rho",-0.206169219638715,-0.2107537196039,-0.883980070492159,0.408056931657682,10000,10000
"elastic_net","old_only_rho",-0.109108945117996,-0.132842232831014,-0.87988269012812,0.810884854079383,9838,10000
"elastic_net","library_rho",-0.366384656210767,-0.380549144478309,-0.864251559384294,0.261167078344118,10000,10000
"elastic_net","young_old_median_difference",0.0543386712215835,0.0543386712215835,-0.076923076923077,0.216737742735407,9996,10000
