"gene","synthetic_young_like","synthetic_mid","synthetic_old_like"
"Scml4",421,181,76
"Plcb1",422,182,77
"Gm16515",423,183,78
"A630033H20Rik",424,184,79
"Dgkb",425,185,80
"Olfr267",426,186,81
"Tbck",427,187,82
"Fam132b",428,188,83
"Chml",429,189,84
"Tmem132c",430,190,85
"Suox",431,191,86
"Awat2",432,192,87
"Osbpl10",433,193,88
"Pcdhb14",434,194,89
"2010310C07Rik",435,195,90
"Vstm2b",436,196,91
"Nrxn2",75,180,420
"Aox3",76,181,421
"Rgs20",77,182,422
"Acot1",78,183,423
"Trim46",79,184,424
"Mutyh",80,185,425
"Nudt7",81,186,426
"Fam196a",82,187,427
"Foxf2",83,188,428
"Ankrd33b",84,189,429
"Lcn2",85,190,430
"Ddb2",86,191,431
"Chchd10",87,192,432
"synthetic_background_001",451,451,451
"synthetic_background_002",452,452,452
"synthetic_background_003",453,453,453
"synthetic_background_004",454,454,454
"synthetic_background_005",455,455,455
"synthetic_background_006",456,456,456
"synthetic_background_007",457,457,457
"synthetic_background_008",458,458,458
"synthetic_background_009",459,459,459
"synthetic_background_010",460,460,460
"synthetic_background_011",461,461,461
"synthetic_background_012",462,462,462
"synthetic_background_013",463,463,463
"synthetic_background_014",464,464,464
"synthetic_background_015",465,465,465
"synthetic_background_016",466,466,466
"synthetic_background_017",467,467,467
"synthetic_background_018",468,468,468
"synthetic_background_019",469,469,469
"synthetic_background_020",470,470,470
"synthetic_background_021",471,471,471
"synthetic_background_022",472,472,472
"synthetic_background_023",450,450,450
"synthetic_background_024",451,451,451
"synthetic_background_025",452,452,452
"synthetic_background_026",453,453,453
"synthetic_background_027",454,454,454
"synthetic_background_028",455,455,455
"synthetic_background_029",456,456,456
"synthetic_background_030",457,457,457
"synthetic_background_031",458,458,458
"synthetic_background_032",459,459,459
"synthetic_background_033",460,460,460
"synthetic_background_034",461,461,461
"synthetic_background_035",462,462,462
"synthetic_background_036",463,463,463
"synthetic_background_037",464,464,464
"synthetic_background_038",465,465,465
"synthetic_background_039",466,466,466
"synthetic_background_040",467,467,467
"synthetic_background_041",468,468,468
"synthetic_background_042",469,469,469
"synthetic_background_043",470,470,470
"synthetic_background_044",471,471,471
"synthetic_background_045",472,472,472
"synthetic_background_046",450,450,450
"synthetic_background_047",451,451,451
"synthetic_background_048",452,452,452
"synthetic_background_049",453,453,453
"synthetic_background_050",454,454,454
"synthetic_background_051",455,455,455
"synthetic_background_052",456,456,456
"synthetic_background_053",457,457,457
"synthetic_background_054",458,458,458
"synthetic_background_055",459,459,459
"synthetic_background_056",460,460,460
"synthetic_background_057",461,461,461
"synthetic_background_058",462,462,462
"synthetic_background_059",463,463,463
"synthetic_background_060",464,464,464
"synthetic_background_061",465,465,465
"synthetic_background_062",466,466,466
"synthetic_background_063",467,467,467
"synthetic_background_064",468,468,468
"synthetic_background_065",469,469,469
"synthetic_background_066",470,470,470
"synthetic_background_067",471,471,471
"synthetic_background_068",472,472,472
"synthetic_background_069",450,450,450
"synthetic_background_070",451,451,451
"synthetic_background_071",452,452,452
"synthetic_background_072",453,453,453
"synthetic_background_073",454,454,454
"synthetic_background_074",455,455,455
"synthetic_background_075",456,456,456
"synthetic_background_076",457,457,457
"synthetic_background_077",458,458,458
"synthetic_background_078",459,459,459
"synthetic_background_079",460,460,460
"synthetic_background_080",461,461,461
"synthetic_background_081",462,462,462
"synthetic_background_082",463,463,463
"synthetic_background_083",464,464,464
"synthetic_background_084",465,465,465
"synthetic_background_085",466,466,466
"synthetic_background_086",467,467,467
"synthetic_background_087",468,468,468
"synthetic_background_088",469,469,469
"synthetic_background_089",470,470,470
"synthetic_background_090",471,471,471
"synthetic_background_091",472,472,472
"synthetic_background_092",450,450,450
"synthetic_background_093",451,451,451
"synthetic_background_094",452,452,452
"synthetic_background_095",453,453,453
"synthetic_background_096",454,454,454
"synthetic_background_097",455,455,455
"synthetic_background_098",456,456,456
"synthetic_background_099",457,457,457
"synthetic_background_100",458,458,458
