"model","age","state","control_arm","n_sokm","n_control","median_difference","mean_difference","interpretation"
"M1_raw_all_gene_denominator","Young","Col11a1 high","Tg+/Dox-",2,3,-0.0732760256116384,-0.0883799242207738,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","Dox+ baseline","Tg+/Dox-",3,3,-0.0598511962827128,0.0116251706092413,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","Tg+ baseline","Tg+/Dox-",2,3,0.105146379992703,0.114601285511009,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","cycling","Tg+/Dox-",3,3,0.0703275386049396,0.0803632983401089,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","Col11a1 high","Tg-/Dox+",2,3,-0.163950579815284,-0.16878838425412,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","Dox+ baseline","Tg-/Dox+",3,3,0.00117204076726851,0.0405066587334939,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","Tg+ baseline","Tg-/Dox+",2,3,0.158969489662268,0.163841665216107,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Young","cycling","Tg-/Dox+",3,3,-0.00299912501558308,0.00962489419604884,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","Col11a1 high","Tg+/Dox-",3,3,-0.0645021919192923,-0.0405325057640269,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","Dox+ baseline","Tg+/Dox-",3,3,0.0251357343775868,0.0355550534836759,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","Tg+ baseline","Tg+/Dox-",2,3,-0.0637009124395767,-0.0629591497729681,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","cycling","Tg+/Dox-",3,3,-0.0670113522975966,-0.0774709320930376,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","Col11a1 high","Tg-/Dox+",3,3,-0.0167534356377061,-0.0245145792975295,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","Dox+ baseline","Tg-/Dox+",3,3,-0.00176372359106275,0.0311030369515745,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","Tg+ baseline","Tg-/Dox+",2,3,-0.156239375415784,-0.149395241347695,"unpaired_state_restricted_descriptive"
"M1_raw_all_gene_denominator","Aged","cycling","Tg-/Dox+",3,3,-0.0779131963843807,-0.0922449151826143,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","Col11a1 high","Tg+/Dox-",2,3,-0.136368038346431,-0.124739052668092,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","Dox+ baseline","Tg+/Dox-",3,3,-0.0547232981193776,0.0193192600335471,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg+ baseline","Tg+/Dox-",2,3,0.284715078776084,0.28838141183227,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","cycling","Tg+/Dox-",3,3,0.13330167800153,0.0858288493653119,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","Col11a1 high","Tg-/Dox+",2,3,-0.20697667636786,-0.158790375041435,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","Dox+ baseline","Tg-/Dox+",3,3,0.0334760585781434,0.0675513183327024,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg+ baseline","Tg-/Dox+",2,3,0.259184951341247,0.309845570818282,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Young","cycling","Tg-/Dox+",3,3,0.019685366405741,0.0231832272397154,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Col11a1 high","Tg+/Dox-",3,3,-0.0956767608401645,-0.0797002582115175,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Dox+ baseline","Tg+/Dox-",3,3,0.00145754617839694,0.0436685259513717,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg+ baseline","Tg+/Dox-",2,3,-0.014448916348869,-0.0184393746995934,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","cycling","Tg+/Dox-",3,3,-0.0725937036876999,-0.101691008222695,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Col11a1 high","Tg-/Dox+",3,3,0.00143593704391387,0.0170951031575869,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Dox+ baseline","Tg-/Dox+",3,3,0.0451040586503849,0.0853879963761628,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg+ baseline","Tg-/Dox+",2,3,-0.176978893123231,-0.182746009011286,"unpaired_state_restricted_descriptive"
"M4_raw_all_gene_denominator_pi_0_90","Aged","cycling","Tg-/Dox+",3,3,-0.0161630064048461,-0.0935044342611686,"unpaired_state_restricted_descriptive"
