"model","age","control_arm","statistic","estimate","bootstrap_q025","bootstrap_q975","interpretation"
"M1_raw_all_gene_denominator","Young","Tg+/Dox-","median_difference",-0.0647873903121804,-0.084275896721813,0.021196191164651,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Young","Tg+/Dox-","mean_difference",-0.0426223652897808,-0.0777797279186021,-0.00746500266095951,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Young","Tg-/Dox+","median_difference",-0.0786849937240596,-0.1039080744465,0.031719027570824,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Young","Tg-/Dox+","mean_difference",-0.0502913468665784,-0.0955003808723531,-0.00385862398497155,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Aged","Tg+/Dox-","median_difference",-0.0148140002531463,-0.0349543418571668,0.0625022332438434,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Aged","Tg+/Dox-","mean_difference",0.0042446303778434,-0.0337879608154029,0.0604681934499718,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Aged","Tg-/Dox+","median_difference",-0.0399909675908751,-0.0802681225858112,0.0859301505197741,"descriptive_n3_per_arm"
"M1_raw_all_gene_denominator","Aged","Tg-/Dox+","mean_difference",-0.0114429798856374,-0.0666942191803726,0.0448552637589051,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg+/Dox-","median_difference",-0.0805738946542835,-0.114056451812416,-0.011839306982979,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg+/Dox-","mean_difference",-0.0688232178165595,-0.102895599426372,-0.0239211889731197,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg-/Dox+","median_difference",-0.114995619185132,-0.149410170491433,0.0437971484206714,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Young","Tg-/Dox+","mean_difference",-0.0735362137519645,-0.137938653389332,-0.00512165054536023,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg+/Dox-","median_difference",-0.0454660248752076,-0.0626806278986559,0.0391313981827477,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg+/Dox-","mean_difference",-0.0230050848637053,-0.0577284021769808,0.0359012934192427,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg-/Dox+","median_difference",-0.0675655310690086,-0.0859035565719795,0.0567473801301203,"descriptive_n3_per_arm"
"M4_raw_all_gene_denominator_pi_0_90","Aged","Tg-/Dox+","mean_difference",-0.0322405691702893,-0.0786253883753549,0.0270428050639924,"descriptive_n3_per_arm"
