"biological_unit_id","age_group","exact_treatment_arm","animal_label","animal_label_scope","n_cells","source_libraries","all_gene_library_size","source_dataset","score_type","sample_qc_pass","qc_notes","m1_model_id","m1_model_version","m1_frozen_role","m1_calibrated_score","m1_raw_score","m1_young_module_score","m1_old_module_score","m1_gene_coverage","m1_weighted_coverage","m1_young_high_weighted_coverage","m1_old_high_weighted_coverage","m1_coverage_pass","m4_model_id","m4_model_version","m4_frozen_role","m4_calibrated_score","m4_raw_score","m4_young_module_score","m4_old_module_score","m4_gene_coverage","m4_weighted_coverage","m4_young_high_weighted_coverage","m4_old_high_weighted_coverage","m4_coverage_pass"
"Aged|Tg-/Dox+|1","Aged","Tg-/Dox+",1,"nested_within_age_and_exact_treatment_arm",357,"L2",12178259,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.475387250385924,0.159554093509309,0.435232570351219,0.27567847684191,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.392989307899179,-0.100993608692976,0.205964533868965,0.306958142561941,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg-/Dox+|2","Aged","Tg-/Dox+",2,"nested_within_age_and_exact_treatment_arm",54,"L2",2162322,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.403594492690542,-0.0307175552947531,0.250415042951875,0.281132598246628,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.34472205869597,-0.231423310796778,0.0377515400785926,0.269174850875371,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg-/Dox+|3","Aged","Tg-/Dox+",3,"nested_within_age_and_exact_treatment_arm",314,"L2",10962501,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.455026395277766,0.105591916865703,0.408296929982123,0.30270501311642,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.385568534691145,-0.121046320518936,0.196088173012724,0.31713449353166,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg+/Dox-|1","Aged","Tg+/Dox-",1,"nested_within_age_and_exact_treatment_arm",464,"L2",13054766,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.429849427940038,0.0388656447316581,0.482489439485555,0.443623794753896,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.369766379225855,-0.163747540579322,0.271171305436484,0.434918846015805,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg+/Dox-|2","Aged","Tg+/Dox-",2,"nested_within_age_and_exact_treatment_arm",374,"L2",11650260,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.427022409966472,0.0313732264391156,0.483890122066322,0.452516895627206,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.362338040643342,-0.183820695864477,0.259058272930577,0.442878968795054,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg+/Dox-|3","Aged","Tg+/Dox-",3,"nested_within_age_and_exact_treatment_arm",449,"L2",12720478,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.43007346965728,0.0394594203200183,0.521497484967001,0.482038064646983,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.363469028497344,-0.180764494997107,0.301316241308176,0.482080736305284,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg+/Dox+|1","Aged","Tg+/Dox+",1,"nested_within_age_and_exact_treatment_arm",7440,"L1;L2",118743909,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.415035427686891,-0.000395756334862607,0.473160276697297,0.473556033032159,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.318003003622136,-0.303624616056651,0.292290619653186,0.595915235709837,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg+/Dox+|2","Aged","Tg+/Dox+",2,"nested_within_age_and_exact_treatment_arm",686,"L1;L2",10346210,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.395119127800113,-0.0531797325906901,0.473471792649993,0.526651525240683,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.307085751327199,-0.333125654299493,0.306710480871162,0.639836135170655,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Aged|Tg+/Dox+|3","Aged","Tg+/Dox+",3,"nested_within_age_and_exact_treatment_arm",55,"L2",2194740,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.489524643210316,0.197022288475453,0.51643891774476,0.319416629269307,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.40146943882609,-0.0780782578317387,0.308280568169485,0.386358826001224,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg-/Dox+|1","Young","Tg-/Dox+",1,"nested_within_age_and_exact_treatment_arm",106,"L4",3904325,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.435383510933478,0.0535325711680031,0.32438976596282,0.270857194794817,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.352014704807364,-0.211716829164626,0.0987415978137586,0.310458426978384,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg-/Dox+|2","Young","Tg-/Dox+",2,"nested_within_age_and_exact_treatment_arm",120,"L4",2219938,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.509720799751548,0.250547966105918,0.587025147600443,0.336477181494525,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.461127701875242,0.0831327000327052,0.389093055792957,0.305960355760251,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg-/Dox+|3","Young","Tg-/Dox+",3,"nested_within_age_and_exact_treatment_arm",210,"L4",7330735,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.50034439076023,0.225697760376127,0.50423230619178,0.278534545815653,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.448145397359298,0.0480513946219387,0.29705920696847,0.249007812346531,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg+/Dox-|1","Young","Tg+/Dox-",1,"nested_within_age_and_exact_treatment_arm",393,"L4",11817007,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.490088622026861,0.198516996058214,0.558005456969089,0.359488460910875,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.407651160211014,-0.0613737616768027,0.353555567851926,0.414929329528729,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg+/Dox-|2","Young","Tg+/Dox-",2,"nested_within_age_and_exact_treatment_arm",271,"L4",8022488,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.445906347339651,0.081421142346635,0.519368571616623,0.437947429269988,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.41372367282845,-0.0449643738457463,0.355178991481707,0.400143365327453,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg+/Dox-|3","Young","Tg+/Dox-",3,"nested_within_age_and_exact_treatment_arm",582,"L4",17075471,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.486446787348351,0.18886507696225,0.621366539269788,0.432501462307538,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.425773983196225,-0.0124015405069279,0.408440994245105,0.420842534752033,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
"Young|Tg+/Dox+|1","Young","Tg+/Dox+",1,"nested_within_age_and_exact_treatment_arm",5320,"L3;L4",96946961,"GSE176206_msc_sokm","frozen_external_calibrated_score",TRUE,"passed_frozen_coverage_and_numeric_qc; animal_label_is_nested_within_arm","M1_raw_all_gene_denominator","facs_v3_1","primary_operational_reference",0.405812725305048,-0.0248385949296438,0.523223515760819,0.548062110690463,0.931034482758621,0.911295034627094,0.870263920206129,1,TRUE,"M4_raw_all_gene_denominator_pi_0_90","facs_v3_1","post_ablation_high_stringency_sensitivity",0.311717531383809,-0.320609471940507,0.356360002695025,0.676969474635532,0.96551724137931,0.944467862372186,0.922478445948111,1,TRUE
