Dedifferentiation,Inflam,Tumor,Tumor_revised
Abi3bp,Abca1,Abat,Abat
Acta2,Abi1,Abcc5,Abcc5
Adam12,Acvr1b,Abhd4,Abhd4
Anpep,Acvr2a,Acvr1b,Acvr1b
Aplp1,Adgre1,Ada,Ada
Areg,Adm,Aen,Aen
Basp1,Adora2b,Ak1,Ak1
Bdnf,Adrm1,Alox8,Alox8
Bgn,Ahr,Ankra2,Ankra2
Bmp1,Aplnr,Apaf1,Apaf1
Cadm1,Aqp9,App,Baiap2
Cald1,Atp2a2,Atf3,Bak1
Calu,Atp2b1,Baiap2,Bax
Cap2,Atp2c1,Bak1,Blcap
Capg,Axl,Bax,Bmp2
Ccn1,Bdkrb1,Blcap,Casp1
Ccn2,Best1,Bmp2,Ccnd3
Cd44,Bst2,Btg1,Ccng1
Cdh11,Btg2,Btg2,Cd82
Cdh2,C3ar1,Casp1,Cdh13
Cdh6,Calcrl,Ccnd2,Cdk5r1
Col11a1,Ccl17,Ccnd3,Cdkn2aip
Col12a1,Ccl20,Ccng1,Cdkn2b
Col16a1,Ccl22,Ccnk,Cebpa
Col1a1,Ccl24,Ccp110,Cgrrf1
Col1a2,Ccl5,Cd81,Clca2
Col3a1,Ccl7,Cd82,Coq8a
Col4a1,Ccr7,Cdh13,Csrnp2
Col4a2,Ccrl2,Cdk5r1,Ctsf
Col5a1,Cd14,Cdkn1a,Cyfip2
Col5a2,Cd40,Cdkn2a,Dcxr
Col5a3,Cd48,Cdkn2aip,Ddb2
Col6a2,Cd69,Cdkn2b,Ddit3
Col6a3,Cd70,Cebpa,Ddit4
Col7a1,Cd82,Cgrrf1,Def6
Col8a2,Cdkn1a,Clca2,Dgka
Colgalt1,Chst2,Coq8a,Dnttip2
Comp,Clec5a,Csrnp2,Dram1
Copa,Cmklr1,Ctsd,Ei24
Crlf1,Csf1,Ctsf,Elp1
Cthrc1,Csf3,Cyfip2,Epha2
Cxcl12,Csf3r,Dcxr,Eps8l2
Cxcl15,Cx3cl1,Ddb2,Ercc5
Cxcl5,Cxcl10,Ddit3,F2r
Dab2,Cxcl11,Ddit4,Fam162a
Dcn,Cxcl15,Def6,Fas
Dkk1,Cxcl5,Dgka,Fbxw7
Dpysl3,Cxcl9,Dnttip2,Fdxr
Dst,Cxcr6,Dram1,Fgf13
Ecm1,Cybb,Ei24,Foxo3
Ecm2,Dcbld2,Elp1,Gadd45a
Edil3,Ebi3,Epha2,Gls2
Efemp2,Edn1,Ephx1,Gpx2
Eln,Eif2ak2,Eps8l2,H1f2
Emp3,Emp3,Ercc5,H2ac25
Eno2,Ereg,F2r,H2aj
Fap,F3,Fam162a,Hbegf
Fas,Ffar2,Fas,Hdac3
Fbln1,Fpr1,Fbxw7,Hexim1
Fbln2,Fzd5,Fdxr,Hras
Fbln5,Gabbr1,Fgf13,Hspa4l
Fbn1,Gch1,Fos,Ier3
Fbn2,Gna15,Foxo3,Ifi30
Fermt2,Gnai3,Fuca1,Il1a
Fgf2,Gp1ba,Gadd45a,Inhbb
Flna,Gpc3,Gls2,Ip6k2
Fmod,Gpr132,Gm2a,Irag2
Fn1,Gpr183,Gpx2,Irak1
Foxc2,Has2,H1f2,Itgb4
Fstl1,Hbegf,H2ac25,Jag2
Fstl3,Hif1a,H2aj,Kif13b
