Dedifferentiation,Inflam,Tumor
Anpep,Acvr2a,Abat
Aplp1,Adgre1,Abcc5
Areg,Adm,Abhd4
Basp1,Adora2b,Acvr1b
Bdnf,Ahr,Ada
Cadm1,Aplnr,Aen
Cap2,Aqp9,Ak1
Ccn2,Atp2a2,Alox8
Cdh11,Atp2b1,Ankra2
Cdh2,Atp2c1,Apaf1
Cdh6,Bdkrb1,Baiap2
Col11a1,Best1,Bak1
Col12a1,Bst2,Bax
Col16a1,C3ar1,Blcap
Col7a1,Calcrl,Bmp2
Col8a2,Ccl17,Casp1
Comp,Ccl20,Ccnd3
Crlf1,Ccl22,Ccng1
Cthrc1,Ccl24,Cd82
Cxcl15,Ccl5,Cdh13
Cxcl5,Ccl7,Cdk5r1
Dab2,Ccr7,Cdkn2aip
Dkk1,Ccrl2,Cdkn2b
Dst,Cd14,Cebpa
Edil3,Cd40,Cgrrf1
Eln,Cd48,Clca2
Eno2,Cd69,Coq8a
Fas,Cd70,Csrnp2
Fbn2,Cd82,Ctsf
Fgf2,Chst2,Cyfip2
Flna,Clec5a,Dcxr
Fmod,Cmklr1,Ddb2
Fn1,Csf3,Ddit3
Foxc2,Csf3r,Ddit4
Fstl3,Cx3cl1,Def6
Fzd8,Cxcl10,Dgka
Gadd45a,Cxcl11,Dnttip2
Gas1,Cxcl15,Dram1
Glipr1,Cxcl5,Ei24
Gm21451,Cxcl9,Elp1
Gpc1,Cxcr6,Epha2
Grem1,Cybb,Eps8l2
Id2,Dcbld2,Ercc5
Igfbp2,Ebi3,F2r
Igfbp3,Edn1,Fam162a
Il15,Eif2ak2,Fas
Inhba,Ereg,Fbxw7
Itga2,Ffar2,Fdxr
Itgav,Fpr1,Fgf13
Itgb1,Fzd5,Foxo3
Itgb3,Gabbr1,Gadd45a
Lama1,Gch1,Gls2
Lama3,Gna15,Gpx2
Lamc2,Gnai3,H1f2
Lox,Gp1ba,H2ac25
Loxl1,Gpr132,H2aj
Lrrc15,Gpr183,Hbegf
Magee1,Has2,Hdac3
Matn2,Hbegf,Hexim1
Matn3,Hpn,Hras
Mcm7,Hrh1,Hspa4l
Mest,Icam4,Ier3
Mmp3,Icosl,Ifi30
Msx1,Ifitm1,Il1a
Myl9,Ifnar1,Inhbb
Mylk,Ifngr2,Ip6k2
Nt5e,Il10,Irag2
Ntm,Il10ra,Irak1
Oxtr,Il12b,Itgb4
Pdgfrb,Il15,Jag2
Pdlim4,Il15ra,Kif13b
Pfn2,Il18,Klk8
Plaur,Il18r1,Krt17
Plod2,Il18rap,Ldhb
Plod3,Il1a,Lif
Pmepa1,Il1b,Mapkapk3
Postn,Il2rb,Mdm2
Pthlh,Il7r,Mknk2
Pvr,Inhba,Mxd1
Qsox1,Irak2,Mxd4
Rgs4,Irf7,Ndrg1
Rhob,Itgb3,Nhlh2
Scg2,Itgb8,Ninj1
Sdc1,Kcna3,Nol8
Serpine1,Kcnj2,Notch1
Sfrp1,Kcnmb2,Nudt15
Sfrp4,Kif1b,Osgin1
