biological_unit_id,dataset_id,age_group,exact_treatment_arm,analysis_role,animal_label,n_cells,qc_status,pluripotency_gene_coverage,genomic_stress_gene_coverage,pluripotency_median,pluripotency_mean,pluripotency_p95,pluripotency_high_risk_frac_p90,pluripotency_high_risk_frac_p95,pluripotency_high_risk_frac_p99,genomic_stress_median,genomic_stress_mean,genomic_stress_p95,genomic_stress_high_risk_frac_p90,genomic_stress_high_risk_frac_p95,genomic_stress_high_risk_frac_p99
GSE176206_MSC|young|NegCtrl|animal_unknown,GSE176206_msc_sokm,young,NegCtrl,control,unknown,182,pass,1.0,0.9565217391304348,-0.061727544035363416,-0.05985931065920212,-0.03200655597133198,0.1043956043956044,0.054945054945054944,0.01098901098901099,0.14386676840775633,0.14850805234579792,0.19083915504293655,0.1043956043956044,0.054945054945054944,0.01098901098901099
GSE176206_MSC|young|Tg+/Dox+|animal_1,GSE176206_msc_sokm,young,Tg+/Dox+,SOKM,1,5320,pass,1.0,0.9565217391304348,-0.002758998683254632,-0.005065253458701346,0.05866900399933473,0.7849624060150376,0.7315789473684211,0.5721804511278196,0.15898106791952996,0.15915120161229704,0.19037713860811947,0.18026315789473685,0.04680451127819549,0.005451127819548872
GSE176206_MSC|young|Tg+/Dox+|animal_2,GSE176206_msc_sokm,young,Tg+/Dox+,SOKM,2,1434,pass,1.0,0.9565217391304348,-0.004369140009262737,-0.005317354748871221,0.05525222765321709,0.7796373779637378,0.7238493723849372,0.5627615062761506,0.1576453354001871,0.15745256117075923,0.18707510485689086,0.16317991631799164,0.0299860529986053,0.002789400278940028
GSE176206_MSC|young|Tg+/Dox+|animal_3,GSE176206_msc_sokm,young,Tg+/Dox+,SOKM,3,57,pass,1.0,0.9565217391304348,-0.025413046992450422,-0.014837654841563254,0.04141654281417972,0.6491228070175439,0.5614035087719298,0.38596491228070173,0.15614014200610798,0.1551971882363864,0.19355209185316122,0.08771929824561403,0.07017543859649122,0.017543859649122806
GSE176206_MSC|young|Tg+/Dox+|animal_unknown,GSE176206_msc_sokm,young,Tg+/Dox+,SOKM,unknown,169,pass,1.0,0.9565217391304348,-0.014921383325542714,-0.013499771815162447,0.05259972431796735,0.6923076923076923,0.650887573964497,0.47337278106508873,0.16023399675920952,0.15939229155962453,0.19038390081353546,0.20710059171597633,0.05325443786982249,0.011834319526627219
GSE176206_MSC|young|Tg+/Dox-|animal_1,GSE176206_msc_sokm,young,Tg+/Dox-,SOKM,1,393,pass,1.0,0.9565217391304348,-0.060433086871302555,-0.05808995364091972,-0.025409972158160862,0.15012722646310434,0.08651399491094147,0.020356234096692113,0.13854147219130508,0.14231019706047945,0.18164044279162594,0.058524173027989825,0.020356234096692113,0.0
GSE176206_MSC|young|Tg+/Dox-|animal_2,GSE176206_msc_sokm,young,Tg+/Dox-,SOKM,2,271,pass,1.0,0.9565217391304348,-0.06333545280221317,-0.06156874982905672,-0.03166433911537751,0.11070110701107011,0.05166051660516605,0.007380073800738007,0.13670260052850725,0.14095720645259535,0.1745929313838172,0.02952029520295203,0.007380073800738007,0.0036900369003690036
GSE176206_MSC|young|Tg+/Dox-|animal_3,GSE176206_msc_sokm,young,Tg+/Dox-,SOKM,3,582,pass,1.0,0.9565217391304348,-0.06138737950673594,-0.05925988584836504,-0.02676377741147633,0.1134020618556701,0.07216494845360824,0.01718213058419244,0.13519516756729974,0.13829461558314307,0.17702143872767961,0.044673539518900345,0.013745704467353952,0.003436426116838488
GSE176206_MSC|young|Tg+/Dox-|animal_unknown,GSE176206_msc_sokm,young,Tg+/Dox-,SOKM,unknown,404,pass,1.0,0.9565217391304348,-0.0659855468085568,-0.0642522492065093,-0.03786115726467687,0.07178217821782178,0.0297029702970297,0.0,0.1263392896026438,0.12998987530607395,0.16583562847208783,0.0049504950495049506,0.0,0.0
GSE176206_MSC|young|Tg-/Dox+|animal_1,GSE176206_msc_sokm,young,Tg-/Dox+,SOKM,1,106,pass,1.0,0.9565217391304348,-0.048908021047910935,-0.04600842103734746,0.00020501014306709836,0.3490566037735849,0.2358490566037736,0.08490566037735849,0.14366908063675643,0.14928924544881209,0.1910524039646359,0.14150943396226415,0.05660377358490566,0.018867924528301886
