mouse_symbol,mouse_ensembl,human_ensembl,orthology_type
mt-Nd1,ENSMUSG00000064341,ENSG00000198888,ortholog_one2one
mt-Nd2,ENSMUSG00000064345,ENSG00000198763,ortholog_one2one
mt-Co1,ENSMUSG00000064351,ENSG00000198804,ortholog_one2one
mt-Co2,ENSMUSG00000064354,ENSG00000198712,ortholog_one2one
mt-Atp8,ENSMUSG00000064356,ENSG00000228253,ortholog_one2one
mt-Atp6,ENSMUSG00000064357,ENSG00000198899,ortholog_one2one
mt-Co3,ENSMUSG00000064358,ENSG00000198938,ortholog_one2one
mt-Nd3,ENSMUSG00000064360,ENSG00000198840,ortholog_one2one
mt-Nd4l,ENSMUSG00000065947,ENSG00000212907,ortholog_one2one
mt-Nd4,ENSMUSG00000064363,ENSG00000198886,ortholog_one2one
mt-Nd5,ENSMUSG00000064367,ENSG00000198786,ortholog_one2one
mt-Nd6,ENSMUSG00000064368,ENSG00000198695,ortholog_one2one
mt-Cytb,ENSMUSG00000064370,ENSG00000198727,ortholog_one2one
Usp9y,ENSMUSG00000069044,ENSG00000114374,ortholog_one2one
Gm25565,ENSMUSG00000077793,ENSG00000252867,ortholog_one2one
Sry,ENSMUSG00000069036,ENSG00000184895,ortholog_one2one
Kdm5d,ENSMUSG00000056673,ENSG00000012817,ortholog_one2one
Ddx3y,ENSMUSG00000069045,ENSG00000067048,ortholog_one2one
Uty,ENSMUSG00000068457,ENSG00000183878,ortholog_one2one
Gm22597,ENSMUSG00000088227,ENSG00000202206,ortholog_one2one
Gm54361,ENSMUSG00002075198,ENSG00000251776,ortholog_one2one
Dsg4,ENSMUSG00000001804,ENSG00000175065,ortholog_one2one
Klhl14,ENSMUSG00000042514,ENSG00000197705,ortholog_one2one
Chsy3,ENSMUSG00000058152,ENSG00000198108,ortholog_one2one
Mir187,ENSMUSG00000065532,ENSG00000207797,ortholog_one2one
Mir378a,ENSMUSG00000105200,ENSG00000199047,ortholog_one2one
Il17b,ENSMUSG00000024578,ENSG00000127743,ortholog_one2one
Sft2d3,ENSMUSG00000044982,ENSG00000173349,ortholog_one2one
Myo7b,ENSMUSG00000024388,ENSG00000169994,ortholog_one2one
Tslp,ENSMUSG00000024379,ENSG00000145777,ortholog_one2one
Gm24384,ENSMUSG00000119255,ENSG00000212147,ortholog_one2one
Onecut2,ENSMUSG00000045991,ENSG00000119547,ortholog_one2one
Igip,ENSMUSG00000110185,ENSG00000182700,ortholog_one2one
Mir122,ENSMUSG00000065402,ENSG00000284440,ortholog_one2one
Pcdha1,ENSMUSG00000103442,ENSG00000204970,ortholog_one2one
Pcdha5,ENSMUSG00000103092,ENSG00000204965,ortholog_one2one
Pcdha9,ENSMUSG00000103770,ENSG00000250120,ortholog_one2one
Cplx4,ENSMUSG00000024519,ENSG00000166569,ortholog_one2one
Mc4r,ENSMUSG00000047259,ENSG00000166603,ortholog_one2one
Chmp1b,ENSMUSG00000109901,ENSG00000255112,ortholog_one2one
Vma21,ENSMUSG00000073131,ENSG00000160131,ortholog_one2one
Kctd16,ENSMUSG00000051401,ENSG00000183775,ortholog_one2one
Snora35,ENSMUSG00000077767,ENSG00000208839,ortholog_one2one
Mir448,ENSMUSG00000065450,ENSG00000199001,ortholog_one2one
Gm54709,ENSMUSG00002075393,ENSG00000251947,ortholog_one2one
Gm54710,ENSMUSG00002075105,ENSG00000207587,ortholog_one2one
Fate1,ENSMUSG00000053593,ENSG00000147378,ortholog_one2one
Cnga2,ENSMUSG00000005864,ENSG00000183862,ortholog_one2one
Gpr151,ENSMUSG00000042816,ENSG00000173250,ortholog_one2one
Gabre,ENSMUSG00000031340,ENSG00000102287,ortholog_one2one
Spink5,ENSMUSG00000055561,ENSG00000133710,ortholog_one2one
Magee2,ENSMUSG00000031224,ENSG00000186675,ortholog_one2one
Gm22090,ENSMUSG00000088960,ENSG00000252015,ortholog_one2one
Lrch2,ENSMUSG00000031290,ENSG00000130224,ortholog_one2one
Spink14,ENSMUSG00000051050,ENSG00000196800,ortholog_one2one
Ccdc112,ENSMUSG00000071855,ENSG00000164221,ortholog_one2one
Gm54753,ENSMUSG00002076599,ENSG00000207298,ortholog_one2one
Magee1,ENSMUSG00000031227,ENSG00000198934,ortholog_one2one
Ftmt,ENSMUSG00000024510,ENSG00000181867,ortholog_one2one
Gm26438,ENSMUSG00000064527,ENSG00000199366,ortholog_one2one
Gm23301,ENSMUSG00000064647,ENSG00000206602,ortholog_one2one
Rnf113a1,ENSMUSG00000036537,ENSG00000139797,ortholog_one2one
Loxhd1,ENSMUSG00000032818,ENSG00000167210,ortholog_one2one
Gm24491,ENSMUSG00000065733,ENSG00000200250,ortholog_one2one
